#location_from;location_to;dist_class;valid_tariff
Supplier_1;Hub_86;1.800,0000000000;FTL||Supplier_1||Hub_86||FTL_PT-GB_2000
Supplier_1;Hub_86;1.800,0000000000;LTL||Current_LTL||LTL_PT-GB||2000
Supplier_1;Hub_87;1.200,0000000000;FTL||Supplier_1||Hub_87||FTL_PT-ES_1500
Supplier_1;Hub_87;1.200,0000000000;LTL||Current_LTL||LTL_PT-ES||1500
Supplier_1;Hub_88;2.200,0000000000;FTL||Supplier_1||Hub_88||FTL_PT-DE_W_2500
Supplier_1;Hub_88;2.200,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2500
Supplier_1;Hub_89;2.100,0000000000;FTL||Supplier_1||Hub_89||FTL_PT-IT_2500
Supplier_1;Hub_89;2.100,0000000000;LTL||Current_LTL||LTL_PT-IT||2500
Supplier_1;Hub_90;2.400,0000000000;FTL||Supplier_1||Hub_90||FTL_PT-DE_W_2500
Supplier_1;Hub_90;2.400,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2500
Supplier_2;Hub_86;1.700,0000000000;FTL||Supplier_2||Hub_86||FTL_PT-GB_2000
Supplier_2;Hub_86;1.700,0000000000;LTL||Current_LTL||LTL_PT-GB||2000
Supplier_2;Hub_87;1.100,0000000000;FTL||Supplier_2||Hub_87||FTL_PT-ES_1500
Supplier_2;Hub_87;1.100,0000000000;LTL||Current_LTL||LTL_PT-ES||1500
Supplier_2;Hub_88;2.100,0000000000;FTL||Supplier_2||Hub_88||FTL_PT-DE_W_2500
Supplier_2;Hub_88;2.100,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2500
Supplier_2;Hub_89;2.100,0000000000;FTL||Supplier_2||Hub_89||FTL_PT-IT_2500
Supplier_2;Hub_89;2.100,0000000000;LTL||Current_LTL||LTL_PT-IT||2500
Supplier_2;Hub_90;2.300,0000000000;FTL||Supplier_2||Hub_90||FTL_PT-DE_W_2500
Supplier_2;Hub_90;2.300,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2500
Supplier_3;Hub_86;1.700,0000000000;FTL||Supplier_3||Hub_86||FTL_PT-GB_2000
Supplier_3;Hub_86;1.700,0000000000;LTL||Current_LTL||LTL_PT-GB||2000
Supplier_3;Hub_87;1.100,0000000000;FTL||Supplier_3||Hub_87||FTL_PT-ES_1500
Supplier_3;Hub_87;1.100,0000000000;LTL||Current_LTL||LTL_PT-ES||1500
Supplier_3;Hub_88;2.000,0000000000;FTL||Supplier_3||Hub_88||FTL_PT-DE_W_2000
Supplier_3;Hub_88;2.000,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2000
Supplier_3;Hub_89;2.000,0000000000;FTL||Supplier_3||Hub_89||FTL_PT-IT_2000
Supplier_3;Hub_89;2.000,0000000000;LTL||Current_LTL||LTL_PT-IT||2000
Supplier_3;Hub_90;2.300,0000000000;FTL||Supplier_3||Hub_90||FTL_PT-DE_W_2500
Supplier_3;Hub_90;2.300,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2500
Supplier_4;Hub_86;1.700,0000000000;FTL||Supplier_4||Hub_86||FTL_PT-GB_2000
Supplier_4;Hub_86;1.700,0000000000;LTL||Current_LTL||LTL_PT-GB||2000
Supplier_4;Hub_87;1.100,0000000000;FTL||Supplier_4||Hub_87||FTL_PT-ES_1500
Supplier_4;Hub_87;1.100,0000000000;LTL||Current_LTL||LTL_PT-ES||1500
Supplier_4;Hub_88;2.100,0000000000;FTL||Supplier_4||Hub_88||FTL_PT-DE_W_2500
Supplier_4;Hub_88;2.100,0000000000;LTL||Current_LTL||LTL_PT-DE_W||2500
Supplier_4;Hub_89;2.100,0000000000;FTL||Supplier_4||Hub_89||FTL_PT-IT_2500
