#location_org;location_dest;commodity_name;demand
Supplier_45;Plant_9;Article_10097;2.550,0000000000
Supplier_45;Plant_9;Article_9982;414,2857142857
Supplier_45;Plant_9;Article_6246;360,0000000000
Supplier_45;Plant_9;Article_6589;1.448,5714285714
Supplier_45;Plant_9;Article_6594;248,5714285714
Supplier_45;Plant_9;Article_6598;210,0000000000
Supplier_45;Plant_9;Article_6503;207,1428571429
Supplier_45;Plant_9;Article_6516;50,0000000000
Supplier_45;Plant_9;Article_7072;1.328,5714285714
Supplier_45;Plant_9;Article_7905;270,0000000000
Supplier_44;Plant_9;Article_9813;377,0000000000
Supplier_44;Plant_9;Article_9820;764,5714285714
Supplier_33;Plant_9;Article_9776;356,5714285714
Supplier_33;Plant_9;Article_9742;3.200,0000000000
Supplier_33;Plant_9;Article_9745;388,5714285714
Supplier_33;Plant_9;Article_10136;1.000,0000000000
Supplier_33;Plant_9;Article_10133;810,0000000000
Supplier_33;Plant_9;Article_10083;356,5714285714
Supplier_33;Plant_9;Article_10087;3.200,0000000000
Supplier_33;Plant_9;Article_6586;1.114,2857142857
Supplier_33;Plant_9;Article_7068;388,5714285714
Supplier_33;Plant_9;Article_7740;85,7142857143
Supplier_79;Plant_3;Article_2790;8.000,0000000000
Supplier_79;Plant_3;Article_2844;14.000,0000000000
Supplier_79;Plant_3;Article_7152;33.000,0000000000
Supplier_79;Plant_3;Article_4716;3.600,0000000000
Supplier_309;Plant_3;Article_2091;324,0000000000
Supplier_163;Plant_3;Article_4720;3.300,0000000000
Supplier_18;Plant_3;Article_8395;4.731,4285714286
Supplier_183;Plant_3;Article_332;64.285,7142857143
Supplier_12;Plant_3;Article_2298;1.357,1428571429
Supplier_12;Plant_3;Article_2765;500,0000000000
Supplier_191;Plant_3;Article_9931;84.480,0000000000
Supplier_59;Plant_3;Article_7980;2.650,0000000000
Supplier_209;Plant_3;Article_2332;3.857,1428571429
Supplier_325;Plant_10;Article_3268;308,5714285714
Supplier_325;Plant_10;Article_3285;276,0000000000
Supplier_325;Plant_10;Article_3288;285,7142857143
Supplier_325;Plant_10;Article_3293;151,4285714286
Supplier_325;Plant_10;Article_3302;151,4285714286
Supplier_325;Plant_10;Article_7193;300,0000000000
Supplier_325;Plant_10;Article_7183;471,4285714286
Supplier_325;Plant_10;Article_7180;760,7142857143
Supplier_325;Plant_10;Article_7181;321,4285714286
Supplier_325;Plant_10;Article_7177;342,8571428571
Supplier_325;Plant_10;Article_7099;400,0000000000
Supplier_325;Plant_10;Article_7104;632,1428571429
Supplier_325;Plant_10;Article_7093;314,2857142857
Supplier_249;Plant_10;Article_7119;2.088,0000000000
Supplier_249;Plant_10;Article_7123;2.088,0000000000
Supplier_345;Plant_10;Article_3025;1.894,8571428571
Supplier_345;Plant_10;Article_3066;107,4285714286
Supplier_345;Plant_10;Article_4877;1.217,1428571429
Supplier_345;Plant_10;Article_4885;60,0000000000
Supplier_345;Plant_10;Article_4865;2.520,0000000000
Supplier_345;Plant_10;Article_4823;205,7142857143
Supplier_345;Plant_10;Article_6166;1.892,5714285714
Supplier_345;Plant_10;Article_6162;1.851,4285714286
Supplier_286;Plant_7;Article_9000;1.400,0000000000
Supplier_286;Plant_7;Article_9039;700,0000000000
Supplier_286;Plant_7;Article_8970;1.400,0000000000
Supplier_286;Plant_7;Article_8977;700,0000000000
Supplier_286;Plant_7;Article_8997;1.400,0000000000
Supplier_286;Plant_7;Article_6449;1.400,0000000000
Supplier_286;Plant_7;Article_6452;700,0000000000
Supplier_286;Plant_7;Article_6857;294,0000000000
Supplier_286;Plant_7;Article_6847;42,0000000000
Supplier_286;Plant_7;Article_6850;168,0000000000
Supplier_286;Plant_7;Article_7864;126,0000000000
Supplier_286;Plant_7;Article_7871;42,0000000000
Supplier_286;Plant_7;Article_7836;84,0000000000
Supplier_286;Plant_7;Article_4566;700,0000000000
Supplier_286;Plant_7;Article_4576;1.400,0000000000
Supplier_286;Plant_7;Article_4438;700,0000000000
Supplier_231;Plant_7;Article_7976;3.200,0000000000
Supplier_231;Plant_7;Article_7959;3.100,0000000000
Supplier_333;Plant_7;Article_3766;84,0000000000
Supplier_333;Plant_7;Article_3776;1.512,0000000000
Supplier_333;Plant_7;Article_3784;84,0000000000
Supplier_333;Plant_7;Article_3728;84,0000000000
Supplier_333;Plant_7;Article_3738;1.260,0000000000
Supplier_358;Plant_9;Article_7300;480,0000000000
Supplier_358;Plant_9;Article_7212;400,0000000000
Supplier_358;Plant_9;Article_6932;80,0000000000
Supplier_358;Plant_9;Article_7226;2.240,0000000000
Supplier_358;Plant_9;Article_7103;80,0000000000
Supplier_358;Plant_9;Article_7095;80,0000000000
Supplier_358;Plant_9;Article_7215;160,0000000000
Supplier_358;Plant_9;Article_7202;80,0000000000
Supplier_358;Plant_9;Article_7534;880,0000000000
Supplier_358;Plant_9;Article_7529;1.360,0000000000
Supplier_358;Plant_9;Article_9640;160,0000000000
Supplier_358;Plant_9;Article_8714;160,0000000000
Supplier_358;Plant_9;Article_8705;400,0000000000
Supplier_250;Plant_9;Article_6660;20.000,0000000000
Supplier_250;Plant_9;Article_6653;15.000,0000000000
Supplier_250;Plant_9;Article_6649;5.000,0000000000
Supplier_162;Plant_9;Article_7441;3.857,1428571429
Supplier_40;Plant_9;Article_10114;2.571,4285714286
Supplier_40;Plant_9;Article_10105;2.571,4285714286
Supplier_26;Plant_9;Article_9679;1.002,8571428571
Supplier_26;Plant_9;Article_10128;308,5714285714
Supplier_26;Plant_9;Article_10123;555,4285714286
Supplier_26;Plant_9;Article_10117;555,4285714286
Supplier_26;Plant_9;Article_10139;576,0000000000
Supplier_26;Plant_9;Article_10006;360,0000000000
Supplier_26;Plant_9;Article_10057;233,1428571429
Supplier_26;Plant_9;Article_10069;274,2857142857
Supplier_26;Plant_9;Article_6326;2.142,8571428571
Supplier_26;Plant_9;Article_6328;1.285,7142857143
Supplier_26;Plant_9;Article_6333;1.500,0000000000
Supplier_26;Plant_9;Article_6216;180,0000000000
Supplier_26;Plant_9;Article_6224;133,7142857143
Supplier_26;Plant_9;Article_6230;246,8571428571
Supplier_26;Plant_9;Article_6242;411,4285714286
Supplier_26;Plant_9;Article_6236;1.344,0000000000
Supplier_26;Plant_9;Article_6249;205,7142857143
Supplier_26;Plant_9;Article_6439;74,5714285714
Supplier_26;Plant_9;Article_6444;205,7142857143
Supplier_26;Plant_9;Article_6408;1.028,5714285714
Supplier_26;Plant_9;Article_6580;61,7142857143
Supplier_26;Plant_9;Article_6556;1.848,0000000000
Supplier_26;Plant_9;Article_6560;2.571,4285714286
Supplier_26;Plant_9;Article_6514;4.320,0000000000
Supplier_26;Plant_9;Article_6499;180,0000000000
Supplier_26;Plant_9;Article_6543;5.142,8571428571
Supplier_26;Plant_9;Article_6647;274,2857142857
Supplier_26;Plant_9;Article_6995;925,7142857143
Supplier_26;Plant_9;Article_7547;1.404,0000000000
Supplier_26;Plant_9;Article_7541;1.716,0000000000
Supplier_26;Plant_9;Article_7530;3.428,5714285714
Supplier_26;Plant_9;Article_7772;41,1428571429
Supplier_26;Plant_9;Article_7776;38,5714285714
Supplier_355;Plant_9;Article_8695;500,0000000000
Supplier_131;Plant_9;Article_6664;3.928,5714285714
Supplier_325;Plant_9;Article_9990;300,0000000000
Supplier_325;Plant_9;Article_10000;300,0000000000
Supplier_42;Plant_9;Article_9701;908,5714285714
Supplier_42;Plant_9;Article_9789;900,0000000000
Supplier_42;Plant_9;Article_9795;877,7142857143
Supplier_42;Plant_9;Article_9762;925,7142857143
Supplier_42;Plant_9;Article_9765;3.030,8571428571
Supplier_42;Plant_9;Article_9752;712,5714285714
Supplier_42;Plant_9;Article_9757;683,4285714286
Supplier_42;Plant_9;Article_10020;240,0000000000
Supplier_42;Plant_9;Article_10028;123,4285714286
Supplier_42;Plant_9;Article_10026;92,5714285714
Supplier_42;Plant_9;Article_10052;2.190,8571428571
Supplier_42;Plant_9;Article_6280;308,5714285714
Supplier_42;Plant_9;Article_6284;216,0000000000
Supplier_42;Plant_9;Article_6287;2.652,5714285714
Supplier_42;Plant_9;Article_7113;171,4285714286
Supplier_42;Plant_9;Article_7211;154,2857142857
Supplier_42;Plant_9;Article_7797;548,5714285714
Supplier_42;Plant_9;Article_7805;51,4285714286
Supplier_42;Plant_9;Article_7769;25,7142857143
Supplier_42;Plant_9;Article_7770;488,5714285714
Supplier_42;Plant_9;Article_7779;264,0000000000
Supplier_42;Plant_9;Article_7781;288,0000000000
Supplier_42;Plant_9;Article_7755;68,5714285714
Supplier_42;Plant_9;Article_7757;111,4285714286
Supplier_42;Plant_9;Article_7751;102,8571428571
Supplier_347;Plant_9;Article_7328;110,0000000000
Supplier_347;Plant_9;Article_7332;1.257,1428571429
Supplier_347;Plant_9;Article_7338;40,0000000000
Supplier_347;Plant_9;Article_7342;214,2857142857
Supplier_347;Plant_9;Article_7349;1.300,0000000000
Supplier_347;Plant_9;Article_7216;278,5714285714
Supplier_347;Plant_9;Article_7201;328,5714285714
Supplier_347;Plant_9;Article_7203;221,4285714286
Supplier_347;Plant_9;Article_7223;271,4285714286
Supplier_347;Plant_9;Article_7511;57,1428571429
Supplier_347;Plant_9;Article_7498;40,0000000000
Supplier_347;Plant_9;Article_7546;28,5714285714
Supplier_347;Plant_9;Article_7540;57,1428571429
Supplier_347;Plant_9;Article_2512;600,0000000000
Supplier_347;Plant_9;Article_2521;157,1428571429
Supplier_347;Plant_9;Article_2493;371,4285714286
Supplier_347;Plant_9;Article_2486;230,0000000000
Supplier_347;Plant_9;Article_2507;270,0000000000
Supplier_347;Plant_9;Article_2501;40,0000000000
Supplier_347;Plant_9;Article_2561;150,0000000000
Supplier_347;Plant_9;Article_2566;230,0000000000
Supplier_347;Plant_9;Article_2545;150,0000000000
Supplier_347;Plant_9;Article_2590;707,1428571429
Supplier_347;Plant_9;Article_2594;714,2857142857
Supplier_347;Plant_9;Article_2599;707,1428571429
Supplier_347;Plant_9;Article_2606;714,2857142857
Supplier_347;Plant_9;Article_9735;228,5714285714
Supplier_347;Plant_9;Article_9707;230,0000000000
Supplier_347;Plant_9;Article_9758;80,0000000000
Supplier_347;Plant_9;Article_7743;164,2857142857
Supplier_347;Plant_9;Article_7739;214,2857142857
Supplier_347;Plant_9;Article_7715;214,2857142857
Supplier_347;Plant_9;Article_7712;214,2857142857
Supplier_347;Plant_9;Article_8586;388,5714285714
Supplier_347;Plant_9;Article_8592;342,8571428571
Supplier_347;Plant_9;Article_8667;300,0000000000
Supplier_347;Plant_9;Article_8654;230,0000000000
Supplier_259;Plant_20;Article_6719;2,0000000000
Supplier_259;Plant_20;Article_6690;11,0000000000
Supplier_235;Plant_20;Article_6286;20,0000000000
Supplier_156;Plant_1;Article_1715;10.428,5714285714
Supplier_35;Plant_1;Article_1969;60.000,0000000000
Supplier_36;Plant_1;Article_7151;2.000,0000000000
Supplier_36;Plant_1;Article_7130;300,0000000000
Supplier_36;Plant_1;Article_7139;1.500,0000000000
Supplier_36;Plant_1;Article_7128;2.000,0000000000
Supplier_337;Plant_1;Article_9733;3.180,0000000000
Supplier_162;Plant_1;Article_9968;15.000,0000000000
Supplier_1;Plant_1;Article_9971;3.840,0000000000
Supplier_1;Plant_1;Article_9953;3.840,0000000000
Supplier_1;Plant_1;Article_9963;320,0000000000
Supplier_1;Plant_1;Article_9947;2.400,0000000000
Supplier_1;Plant_1;Article_9951;3.040,0000000000
Supplier_1;Plant_1;Article_9869;320,0000000000
Supplier_1;Plant_1;Article_9853;6.400,0000000000
Supplier_1;Plant_1;Article_9845;240,0000000000
Supplier_1;Plant_1;Article_9841;324,0000000000
Supplier_1;Plant_1;Article_9827;10.240,0000000000
Supplier_1;Plant_1;Article_9901;4.840,0000000000
Supplier_1;Plant_1;Article_9893;4.840,0000000000
Supplier_1;Plant_1;Article_9887;1.440,0000000000
Supplier_1;Plant_1;Article_9875;2.640,0000000000
Supplier_1;Plant_1;Article_9550;480,0000000000
Supplier_1;Plant_1;Article_9563;2.560,0000000000
Supplier_1;Plant_1;Article_9571;2.560,0000000000
Supplier_1;Plant_1;Article_2903;2.800,0000000000
Supplier_1;Plant_1;Article_2914;2.800,0000000000
Supplier_1;Plant_1;Article_2652;1.920,0000000000
Supplier_1;Plant_1;Article_1830;1.920,0000000000
Supplier_1;Plant_1;Article_1804;180,0000000000
Supplier_1;Plant_1;Article_1815;1.260,0000000000
Supplier_1;Plant_1;Article_1865;1.080,0000000000
Supplier_43;Plant_1;Article_9407;300,0000000000
Supplier_17;Plant_1;Article_6768;250,0000000000
Supplier_17;Plant_1;Article_6764;150,0000000000
Supplier_17;Plant_1;Article_6777;1.500,0000000000
Supplier_17;Plant_1;Article_6771;9,0000000000
Supplier_17;Plant_1;Article_6731;9,0000000000
Supplier_17;Plant_1;Article_6728;80,0000000000
Supplier_17;Plant_1;Article_6724;1.240,0000000000
Supplier_17;Plant_1;Article_6732;10,0000000000
Supplier_17;Plant_1;Article_6745;260,0000000000
Supplier_17;Plant_1;Article_6741;27,0000000000
Supplier_17;Plant_1;Article_6751;180,0000000000
Supplier_17;Plant_1;Article_6746;90,0000000000
Supplier_17;Plant_1;Article_7192;9,0000000000
Supplier_17;Plant_1;Article_7186;20,0000000000
Supplier_17;Plant_1;Article_7124;18,0000000000
Supplier_17;Plant_1;Article_6466;880,0000000000
Supplier_17;Plant_1;Article_6461;24,0000000000
Supplier_17;Plant_1;Article_7896;380,0000000000
Supplier_42;Plant_1;Article_9861;96,0000000000
Supplier_42;Plant_1;Article_9858;3.584,0000000000
Supplier_42;Plant_1;Article_9851;3.584,0000000000
Supplier_42;Plant_1;Article_9843;1.312,0000000000
Supplier_42;Plant_1;Article_9837;1.312,0000000000
Supplier_42;Plant_1;Article_9285;1.160,0000000000
Supplier_42;Plant_1;Article_9282;1.160,0000000000
Supplier_42;Plant_1;Article_9247;952,0000000000
Supplier_42;Plant_1;Article_9252;952,0000000000
Supplier_42;Plant_1;Article_9257;44,0000000000
Supplier_42;Plant_1;Article_9263;44,0000000000
Supplier_42;Plant_1;Article_1529;560,0000000000
Supplier_42;Plant_1;Article_1597;560,0000000000
Supplier_42;Plant_1;Article_3620;64,0000000000
Supplier_42;Plant_1;Article_3575;832,0000000000
Supplier_42;Plant_1;Article_3568;966,0000000000
Supplier_42;Plant_1;Article_3591;96,0000000000
Supplier_42;Plant_1;Article_3583;832,0000000000
Supplier_42;Plant_1;Article_3680;96,0000000000
Supplier_42;Plant_1;Article_3672;966,0000000000
Supplier_42;Plant_1;Article_8469;4.940,0000000000
Supplier_42;Plant_1;Article_8463;4.940,0000000000
Supplier_42;Plant_1;Article_8185;360,0000000000
Supplier_42;Plant_1;Article_8174;360,0000000000
Supplier_42;Plant_1;Article_8177;28,0000000000
Supplier_42;Plant_1;Article_8103;28,0000000000
Supplier_326;Plant_5;Article_2452;1.836,0000000000
Supplier_326;Plant_5;Article_2457;2.160,0000000000
Supplier_326;Plant_5;Article_2624;108,0000000000
Supplier_51;Plant_5;Article_7763;864,0000000000
Supplier_122;Plant_5;Article_1655;10.348,0000000000
Supplier_122;Plant_5;Article_6259;5.174,0000000000
Supplier_122;Plant_5;Article_1649;5.174,0000000000
Supplier_122;Plant_5;Article_6480;752,0000000000
Supplier_122;Plant_5;Article_6472;4.035,0000000000
Supplier_122;Plant_5;Article_6354;5.180,0000000000
Supplier_122;Plant_5;Article_6350;135,0000000000
Supplier_122;Plant_5;Article_6340;272,0000000000
Supplier_122;Plant_5;Article_6371;9.824,0000000000
Supplier_122;Plant_5;Article_6368;5.174,0000000000
Supplier_122;Plant_5;Article_6360;5.160,0000000000
Supplier_122;Plant_5;Article_6385;5.160,0000000000
Supplier_122;Plant_5;Article_6617;5.174,0000000000
Supplier_327;Plant_5;Article_1231;28.000,0000000000
Supplier_11;Plant_5;Article_10099;34.000,0000000000
Supplier_11;Plant_5;Article_6611;108.000,0000000000
Supplier_82;Plant_5;Article_7526;2.500,0000000000
Supplier_351;Plant_5;Article_7175;120,0000000000
Supplier_351;Plant_5;Article_7170;320,0000000000
Supplier_351;Plant_5;Article_8084;880,0000000000
Supplier_351;Plant_5;Article_8088;880,0000000000
Supplier_351;Plant_5;Article_8067;880,0000000000
Supplier_351;Plant_5;Article_8070;890,0000000000
Supplier_351;Plant_5;Article_4026;80,0000000000
Supplier_351;Plant_5;Article_4045;1.700,0000000000
Supplier_351;Plant_5;Article_3954;30,0000000000
Supplier_351;Plant_5;Article_3946;60,0000000000
Supplier_351;Plant_5;Article_3986;430,0000000000
Supplier_351;Plant_5;Article_3982;470,0000000000
Supplier_351;Plant_5;Article_3833;10,0000000000
Supplier_351;Plant_5;Article_3856;240,0000000000
Supplier_351;Plant_5;Article_3843;240,0000000000
Supplier_351;Plant_5;Article_3860;10,0000000000
Supplier_351;Plant_5;Article_5962;30,0000000000
Supplier_351;Plant_5;Article_5968;30,0000000000
Supplier_351;Plant_5;Article_5933;30,0000000000
Supplier_351;Plant_5;Article_10132;40,0000000000
Supplier_351;Plant_5;Article_10150;790,0000000000
Supplier_351;Plant_5;Article_10141;790,0000000000
Supplier_351;Plant_5;Article_10146;40,0000000000
Supplier_351;Plant_5;Article_10170;110,0000000000
Supplier_351;Plant_5;Article_9201;100,0000000000
Supplier_351;Plant_5;Article_9320;240,0000000000
Supplier_351;Plant_5;Article_9306;80,0000000000
Supplier_351;Plant_5;Article_9314;120,0000000000
