#location_from;location_to;dist_class;valid_tariff
Supplier_1;Hub_81;1.800,0000000000;FTL||Supplier_1||Hub_81||FTL_PT-GB_2000
Supplier_1;Hub_81;1.800,0000000000;LTL||Current_LTL||LTL_PT-GB_2000
Supplier_1;Hub_82;1.200,0000000000;FTL||Supplier_1||Hub_82||FTL_PT-ES_1500
Supplier_1;Hub_82;1.200,0000000000;LTL||Current_LTL||LTL_PT-ES_1500
Supplier_1;Hub_83;2.200,0000000000;FTL||Supplier_1||Hub_83||FTL_PT-DE_W_2500
Supplier_1;Hub_83;2.200,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_1;Hub_84;2.100,0000000000;FTL||Supplier_1||Hub_84||FTL_PT-IT_2500
Supplier_1;Hub_84;2.100,0000000000;LTL||Current_LTL||LTL_PT-IT_2500
Supplier_1;Hub_85;2.400,0000000000;FTL||Supplier_1||Hub_85||FTL_PT-DE_W_2500
Supplier_1;Hub_85;2.400,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_2;Hub_81;1.700,0000000000;FTL||Supplier_2||Hub_81||FTL_PT-GB_2000
Supplier_2;Hub_81;1.700,0000000000;LTL||Current_LTL||LTL_PT-GB_2000
Supplier_2;Hub_82;1.100,0000000000;FTL||Supplier_2||Hub_82||FTL_PT-ES_1500
Supplier_2;Hub_82;1.100,0000000000;LTL||Current_LTL||LTL_PT-ES_1500
Supplier_2;Hub_83;2.100,0000000000;FTL||Supplier_2||Hub_83||FTL_PT-DE_W_2500
Supplier_2;Hub_83;2.100,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_2;Hub_84;2.100,0000000000;FTL||Supplier_2||Hub_84||FTL_PT-IT_2500
Supplier_2;Hub_84;2.100,0000000000;LTL||Current_LTL||LTL_PT-IT_2500
Supplier_2;Hub_85;2.300,0000000000;FTL||Supplier_2||Hub_85||FTL_PT-DE_W_2500
Supplier_2;Hub_85;2.300,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_3;Hub_81;1.700,0000000000;FTL||Supplier_3||Hub_81||FTL_PT-GB_2000
Supplier_3;Hub_81;1.700,0000000000;LTL||Current_LTL||LTL_PT-GB_2000
Supplier_3;Hub_82;1.100,0000000000;FTL||Supplier_3||Hub_82||FTL_PT-ES_1500
Supplier_3;Hub_82;1.100,0000000000;LTL||Current_LTL||LTL_PT-ES_1500
Supplier_3;Hub_83;2.000,0000000000;FTL||Supplier_3||Hub_83||FTL_PT-DE_W_2000
Supplier_3;Hub_83;2.000,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2000
Supplier_3;Hub_84;2.000,0000000000;FTL||Supplier_3||Hub_84||FTL_PT-IT_2000
Supplier_3;Hub_84;2.000,0000000000;LTL||Current_LTL||LTL_PT-IT_2000
Supplier_3;Hub_85;2.300,0000000000;FTL||Supplier_3||Hub_85||FTL_PT-DE_W_2500
Supplier_3;Hub_85;2.300,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_4;Hub_81;1.700,0000000000;FTL||Supplier_4||Hub_81||FTL_PT-GB_2000
Supplier_4;Hub_81;1.700,0000000000;LTL||Current_LTL||LTL_PT-GB_2000
Supplier_4;Hub_82;1.100,0000000000;FTL||Supplier_4||Hub_82||FTL_PT-ES_1500
Supplier_4;Hub_82;1.100,0000000000;LTL||Current_LTL||LTL_PT-ES_1500
Supplier_4;Hub_83;2.100,0000000000;FTL||Supplier_4||Hub_83||FTL_PT-DE_W_2500
Supplier_4;Hub_83;2.100,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_4;Hub_84;2.100,0000000000;FTL||Supplier_4||Hub_84||FTL_PT-IT_2500
Supplier_4;Hub_84;2.100,0000000000;LTL||Current_LTL||LTL_PT-IT_2500
Supplier_4;Hub_85;2.300,0000000000;FTL||Supplier_4||Hub_85||FTL_PT-DE_W_2500
Supplier_4;Hub_85;2.300,0000000000;LTL||Current_LTL||LTL_PT-DE_W_2500
Supplier_5;Hub_81;2.300,0000000000;FTL||Supplier_5||Hub_81||FTL_Welt_Welt_2500
Supplier_5;Hub_82;1.200,0000000000;FTL||Supplier_5||Hub_82||FTL_Welt_Welt_1500
Supplier_5;Hub_83;2.500,0000000000;FTL||Supplier_5||Hub_83||FTL_Welt_Welt_2500
Supplier_5;Hub_84;2.200,0000000000;FTL||Supplier_5||Hub_84||FTL_Welt_Welt_2500
Supplier_5;Hub_85;2.500,0000000000;FTL||Supplier_5||Hub_85||FTL_Welt_Welt_2500
Supplier_6;Hub_81;300,0000000000;FTL||Supplier_6||Hub_81||FTL_GB-GB_250
Supplier_6;Hub_81;300,0000000000;LTL||Current_LTL||LTL_GB-GB_250
Supplier_6;Hub_82;1.500,0000000000;FTL||Supplier_6||Hub_82||FTL_GB-ES_1500
Supplier_6;Hub_82;1.500,0000000000;LTL||Current_LTL||LTL_GB-ES_1500
Supplier_6;Hub_83;1.000,0000000000;FTL||Supplier_6||Hub_83||FTL_GB-DE_W_1000
Supplier_6;Hub_83;1.000,0000000000;LTL||Current_LTL||LTL_GB-DE_W_1000
Supplier_6;Hub_84;1.700,0000000000;FTL||Supplier_6||Hub_84||FTL_GB-IT_2000
