#location_org;location_dest;commodity_name;interval_lowerbound;interval_upperbound
Supplier_26;Plant_9;Article_10004;40;40
Supplier_351;Plant_7;Article_10005;40;40
Supplier_26;Plant_9;Article_10006;280;420
Supplier_276;Plant_21;Article_10007;300;300
Supplier_261;Plant_15;Article_10008;45;45
Supplier_248;Plant_15;Article_10009;120;120
Supplier_248;Plant_15;Article_10016;120;120
Supplier_351;Plant_8;Article_1002;5;20
Supplier_347;Plant_9;Article_10022;300;300
Supplier_347;Plant_9;Article_10024;300;300
Supplier_321;Plant_4;Article_1003;1;2
Supplier_357;Plant_13;Article_10030;25;340
Supplier_357;Plant_13;Article_10033;25;340
Supplier_280;Plant_4;Article_10034;1;3
Supplier_357;Plant_13;Article_10035;25;340
Supplier_249;Plant_15;Article_10036;168;168
Supplier_275;Plant_21;Article_10037;24;24
Supplier_249;Plant_15;Article_10038;168;168
Supplier_357;Plant_13;Article_10039;20;340
Supplier_280;Plant_4;Article_10041;2;16
Supplier_275;Plant_21;Article_10043;24;24
Supplier_357;Plant_13;Article_10045;37;340
Supplier_280;Plant_4;Article_10046;1,5;1,75
Supplier_26;Plant_9;Article_10047;360;390
Supplier_325;Plant_15;Article_10048;100;175
Supplier_275;Plant_21;Article_10049;24;90
Supplier_151;Plant_4;Article_1005;110;110
Supplier_275;Plant_21;Article_10051;24;90
Supplier_325;Plant_15;Article_10053;100;100
Supplier_358;Plant_4;Article_10054;156;183,25
Supplier_280;Plant_4;Article_10056;1;8
Supplier_26;Plant_9;Article_10057;272;544
Supplier_358;Plant_4;Article_10058;13;14
Supplier_275;Plant_21;Article_10060;24;24
Supplier_351;Plant_8;Article_10061;235;1103,75
Supplier_321;Plant_6;Article_10063;50;50
Supplier_26;Plant_9;Article_10064;4200;4200
Supplier_275;Plant_21;Article_10065;24;24
Supplier_26;Plant_9;Article_10066;42;42
Supplier_306;Plant_18;Article_10068;316,5;398,25
Supplier_26;Plant_9;Article_10069;40;480
Supplier_306;Plant_18;Article_10070;168,5;188
Supplier_26;Plant_9;Article_10071;210;210
Supplier_306;Plant_18;Article_10072;21;21
Supplier_26;Plant_9;Article_10075;3360;3360
Supplier_347;Plant_9;Article_10076;910;945
Supplier_357;Plant_13;Article_10078;50;680
Supplier_351;Plant_8;Article_1008;5;20
Supplier_26;Plant_9;Article_10082;6000;6750
Supplier_33;Plant_9;Article_10083;370,2857143;384
Supplier_33;Plant_9;Article_10086;1200;1350
Supplier_33;Plant_9;Article_10087;2811,428571;3200
Supplier_321;Plant_4;Article_1009;3;4
Supplier_26;Plant_9;Article_10090;1848;2002
Supplier_306;Plant_18;Article_10091;7200;7920
Supplier_26;Plant_9;Article_10093;600;900
Supplier_26;Plant_9;Article_10098;72;72
Supplier_275;Plant_21;Article_10107;24;72
Supplier_26;Plant_9;Article_10110;3000;3000
Supplier_358;Plant_4;Article_10112;1;5,5
Supplier_26;Plant_9;Article_10117;565,7142857;585
Supplier_351;Plant_5;Article_10118;5160;5840
Supplier_351;Plant_8;Article_1012;5;15
Supplier_280;Plant_4;Article_10120;1;4
Supplier_275;Plant_21;Article_10121;24;24
Supplier_26;Plant_9;Article_10123;547,7142857;576
Supplier_280;Plant_4;Article_10124;1;14
Supplier_275;Plant_21;Article_10126;24;72
Supplier_26;Plant_9;Article_10128;360;720
Supplier_321;Plant_4;Article_1013;1;3
Supplier_351;Plant_5;Article_10132;37;40
Supplier_33;Plant_9;Article_10133;810;1620
Supplier_351;Plant_5;Article_10135;20;650
Supplier_33;Plant_9;Article_10136;1120;1370
Supplier_351;Plant_5;Article_10137;9;100
Supplier_275;Plant_21;Article_10138;24;24
Supplier_26;Plant_9;Article_10139;560;616
Supplier_151;Plant_4;Article_1014;14;15
Supplier_351;Plant_5;Article_10141;750;845
Supplier_26;Plant_9;Article_10143;1344;1400
Supplier_351;Plant_5;Article_10146;30;40
Supplier_26;Plant_9;Article_10148;384;432
Supplier_237;Plant_21;Article_10149;60;60
Supplier_351;Plant_5;Article_10150;770;840
Supplier_110;Plant_15;Article_10151;16;112
Supplier_110;Plant_15;Article_10153;168;240
Supplier_26;Plant_9;Article_10156;384;384
Supplier_358;Plant_4;Article_10157;1;6
Supplier_351;Plant_5;Article_10158;60;60
Supplier_26;Plant_9;Article_10159;156;156
Supplier_26;Plant_9;Article_10162;288;360
Supplier_26;Plant_9;Article_10164;12;72
Supplier_14;Plant_5;Article_10165;5495;5740
Supplier_351;Plant_5;Article_10166;280;320
Supplier_351;Plant_8;Article_1017;5;15
Supplier_351;Plant_5;Article_10170;60;80
Supplier_26;Plant_9;Article_10172;240;270
Supplier_26;Plant_9;Article_10173;2000;2250
Supplier_351;Plant_5;Article_10174;60;60
Supplier_351;Plant_5;Article_10177;820;955
Supplier_321;Plant_4;Article_1018;22;27
Supplier_347;Plant_9;Article_10182;200;250
Supplier_351;Plant_5;Article_10184;1780;1995
Supplier_351;Plant_5;Article_10189;1800;2020
Supplier_351;Plant_5;Article_10194;10;60
Supplier_110;Plant_15;Article_10196;184;240
Supplier_351;Plant_5;Article_10197;8;8
Supplier_151;Plant_4;Article_1020;11;130
Supplier_110;Plant_15;Article_10200;16;1832
Supplier_26;Plant_9;Article_10201;245;262,5
Supplier_26;Plant_9;Article_10203;1750;1925
Supplier_26;Plant_9;Article_10205;1000;1000
Supplier_351;Plant_5;Article_10207;200;240
Supplier_110;Plant_15;Article_10208;16;108
Supplier_219;Plant_21;Article_1022;4000;4000
Supplier_351;Plant_8;Article_1026;15;242,5
Supplier_321;Plant_4;Article_1027;1;6
Supplier_151;Plant_4;Article_1029;29;130
Supplier_321;Plant_4;Article_1032;6;10
Supplier_351;Plant_8;Article_1033;15;242,5
Supplier_312;Plant_4;Article_1036;34;34
Supplier_321;Plant_4;Article_1038;2;2
Supplier_321;Plant_4;Article_1042;2;4,75
Supplier_312;Plant_4;Article_1043;88;88
Supplier_321;Plant_4;Article_1048;1;4
Supplier_151;Plant_15;Article_105;168;168
Supplier_312;Plant_4;Article_1051;220;264
Supplier_312;Plant_4;Article_1056;126;144
Supplier_210;Plant_21;Article_1057;280;280
Supplier_210;Plant_21;Article_1062;280;280
Supplier_321;Plant_4;Article_1064;16;20,5
Supplier_351;Plant_8;Article_1065;10;70
Supplier_151;Plant_4;Article_1068;28;28
Supplier_351;Plant_8;Article_1070;5;21,25
Supplier_321;Plant_4;Article_1072;2;12
Supplier_165;Plant_6;Article_1078;48;48
Supplier_351;Plant_8;Article_1079;5;12,5
Supplier_321;Plant_4;Article_1083;100;100
Supplier_321;Plant_4;Article_1084;3;4
Supplier_351;Plant_8;Article_1086;5;70
Supplier_276;Plant_18;Article_1088;18;108
Supplier_151;Plant_4;Article_1089;280;308
Supplier_321;Plant_4;Article_1090;28;32
Supplier_351;Plant_8;Article_1091;20;23,75
Supplier_151;Plant_4;Article_1094;420;448
Supplier_151;Plant_15;Article_1095;24;108
Supplier_321;Plant_4;Article_1097;22;34
Supplier_351;Plant_8;Article_1098;5;20
Supplier_351;Plant_7;Article_110;60;60
Supplier_151;Plant_4;Article_1101;28;28
Supplier_321;Plant_4;Article_1102;10;12
Supplier_351;Plant_8;Article_1103;5;27,5
Supplier_165;Plant_6;Article_1107;48;48
Supplier_351;Plant_8;Article_1109;5;20
Supplier_151;Plant_4;Article_1111;280;308
Supplier_321;Plant_4;Article_1112;1;6
Supplier_214;Plant_18;Article_1114;168;252
Supplier_351;Plant_8;Article_1115;5;6,25
Supplier_151;Plant_4;Article_1119;448;448
Supplier_321;Plant_4;Article_1120;1;11,25
Supplier_214;Plant_18;Article_1121;168;231
Supplier_351;Plant_8;Article_1122;5;5
Supplier_151;Plant_4;Article_1123;6;6
Supplier_321;Plant_4;Article_1125;1;7
Supplier_210;Plant_21;Article_1126;50;350
Supplier_132;Plant_18;Article_1127;130;169
Supplier_351;Plant_8;Article_1129;5;35
Supplier_151;Plant_4;Article_1130;1;34
Supplier_210;Plant_21;Article_1133;300;350
Supplier_321;Plant_4;Article_1134;6;7,25
Supplier_214;Plant_4;Article_1137;84;84
Supplier_87;Plant_4;Article_1138;60;60
Supplier_351;Plant_7;Article_1139;280;280
Supplier_151;Plant_4;Article_114;1520;1760
Supplier_326;Plant_6;Article_1140;288;333
Supplier_332;Plant_6;Article_1140;468;558
Supplier_214;Plant_15;Article_1141;208;208
Supplier_321;Plant_4;Article_1143;220;220
Supplier_351;Plant_7;Article_1145;260;260
Supplier_326;Plant_6;Article_1146;72;78
Supplier_332;Plant_6;Article_1146;126;144
Supplier_214;Plant_15;Article_1148;208;208
Supplier_321;Plant_4;Article_1149;41,5;48,75
Supplier_151;Plant_15;Article_1150;28;28
Supplier_87;Plant_4;Article_1152;720;780
Supplier_351;Plant_7;Article_1153;80;80
Supplier_326;Plant_6;Article_1155;42;51
Supplier_332;Plant_6;Article_1155;48;60
Supplier_276;Plant_18;Article_1157;50;74
Supplier_321;Plant_4;Article_1158;9;10,75
Supplier_351;Plant_8;Article_1159;4;54
Supplier_87;Plant_4;Article_1160;60;60
Supplier_351;Plant_7;Article_1162;260;260
Supplier_276;Plant_18;Article_1163;33;34,5
Supplier_326;Plant_6;Article_1164;108;126
Supplier_332;Plant_6;Article_1164;162;180
Supplier_351;Plant_8;Article_1166;5;15
Supplier_321;Plant_4;Article_1167;1;4,75
Supplier_87;Plant_4;Article_1168;540;630
Supplier_326;Plant_6;Article_1169;36;612
Supplier_332;Plant_6;Article_1169;540;585
Supplier_351;Plant_7;Article_1170;240;240
Supplier_276;Plant_18;Article_1171;48;48
Supplier_351;Plant_8;Article_1172;8;59,75
Supplier_87;Plant_4;Article_1174;300;300
Supplier_321;Plant_4;Article_1175;2;2
Supplier_326;Plant_6;Article_1176;12;18
Supplier_332;Plant_6;Article_1176;12;12
Supplier_351;Plant_7;Article_1178;300;300
Supplier_351;Plant_8;Article_1179;5;15
Supplier_151;Plant_4;Article_118;160;160
Supplier_321;Plant_4;Article_1180;220;220
Supplier_87;Plant_4;Article_1182;540;600
Supplier_326;Plant_6;Article_1183;36;39
Supplier_332;Plant_6;Article_1183;36;48
Supplier_351;Plant_7;Article_1184;260;260
Supplier_351;Plant_8;Article_1185;5;35
Supplier_321;Plant_4;Article_1186;47;49,5
Supplier_326;Plant_6;Article_1187;72;90
Supplier_332;Plant_6;Article_1187;72;72
Supplier_87;Plant_4;Article_1188;60;60
Supplier_351;Plant_7;Article_1190;260;260
Supplier_351;Plant_7;Article_1191;240;240
Supplier_351;Plant_8;Article_1192;5;5
Supplier_326;Plant_6;Article_1193;12;48
Supplier_332;Plant_6;Article_1193;24;36
Supplier_214;Plant_4;Article_1194;168;168
Supplier_351;Plant_7;Article_1199;320;320
Supplier_326;Plant_6;Article_1200;306;342
Supplier_332;Plant_6;Article_1200;360;396
Supplier_214;Plant_4;Article_1201;27;36
Supplier_351;Plant_7;Article_1204;280;280
Supplier_210;Plant_21;Article_1205;120;120
Supplier_351;Plant_8;Article_1206;5;15
Supplier_326;Plant_6;Article_1207;12;12
Supplier_332;Plant_6;Article_1207;12;21
Supplier_214;Plant_4;Article_1208;252;252
Supplier_351;Plant_7;Article_121;630;630
Supplier_351;Plant_7;Article_1210;200;200
Supplier_333;Plant_22;Article_1211;576;720
Supplier_351;Plant_8;Article_1213;5;7,5
Supplier_214;Plant_4;Article_1215;9;9
Supplier_351;Plant_8;Article_1217;5;55
Supplier_326;Plant_6;Article_1218;234;261
Supplier_332;Plant_6;Article_1218;288;324
Supplier_210;Plant_21;Article_1219;140;140
Supplier_351;Plant_7;Article_1220;220;220
Supplier_333;Plant_22;Article_1221;576;720
Supplier_214;Plant_4;Article_1223;84;84
Supplier_351;Plant_8;Article_1224;5;50
Supplier_326;Plant_6;Article_1225;24;30
Supplier_332;Plant_6;Article_1225;24;24
Supplier_342;Plant_18;Article_1226;280;280
Supplier_210;Plant_21;Article_1227;120;120
Supplier_351;Plant_7;Article_1228;240;240
Supplier_214;Plant_4;Article_1230;9;9
Supplier_326;Plant_6;Article_1232;6;6
Supplier_332;Plant_6;Article_1232;6;6
Supplier_351;Plant_7;Article_1233;200;200
Supplier_342;Plant_18;Article_1234;40;40
Supplier_214;Plant_4;Article_1236;9;9
Supplier_210;Plant_21;Article_1238;140;140
Supplier_351;Plant_7;Article_1239;200;200
Supplier_342;Plant_18;Article_1240;130;160
Supplier_87;Plant_4;Article_1241;60;75
Supplier_214;Plant_4;Article_1242;18;27
Supplier_321;Plant_4;Article_1243;11,5;16,5
Supplier_351;Plant_7;Article_1244;280;280
Supplier_87;Plant_4;Article_1245;1;1
Supplier_342;Plant_18;Article_1246;160;200
Supplier_351;Plant_8;Article_1247;5;30
Supplier_326;Plant_6;Article_1248;72;90
Supplier_332;Plant_6;Article_1248;72;72
Supplier_321;Plant_4;Article_1249;7;8,5
Supplier_351;Plant_7;Article_1250;280;280
Supplier_342;Plant_18;Article_1251;780;960
Supplier_351;Plant_8;Article_1252;10;182,5
Supplier_326;Plant_6;Article_1253;36;39
Supplier_332;Plant_6;Article_1253;36;48
Supplier_87;Plant_4;Article_1254;60;60
Supplier_321;Plant_4;Article_1255;6,5;8,75
Supplier_351;Plant_7;Article_1256;260;260
Supplier_326;Plant_6;Article_1257;12;12
Supplier_332;Plant_6;Article_1257;6;12
Supplier_351;Plant_8;Article_1258;5;225
Supplier_321;Plant_4;Article_1259;17;19
Supplier_151;Plant_4;Article_126;80;160
Supplier_342;Plant_18;Article_1261;3600;4200
Supplier_87;Plant_4;Article_1262;600;660
Supplier_351;Plant_7;Article_1263;80;80
Supplier_351;Plant_8;Article_1265;5;216,25
Supplier_321;Plant_4;Article_1266;177;200
Supplier_351;Plant_8;Article_1267;10;22,5
Supplier_326;Plant_6;Article_1268;504;504
Supplier_332;Plant_6;Article_1268;504;567
Supplier_351;Plant_7;Article_1269;300;300
Supplier_87;Plant_4;Article_1270;10;10
Supplier_321;Plant_4;Article_1271;20;23
Supplier_351;Plant_8;Article_1272;5;20
Supplier_351;Plant_7;Article_1274;240;240
Supplier_321;Plant_4;Article_1275;3;7,75
Supplier_326;Plant_6;Article_1277;108;108
Supplier_332;Plant_6;Article_1277;108;108
Supplier_351;Plant_8;Article_1278;5;5
Supplier_351;Plant_7;Article_1279;260;260
Supplier_351;Plant_7;Article_128;600;600
Supplier_321;Plant_4;Article_1280;44;49
Supplier_326;Plant_6;Article_1282;48;48
Supplier_332;Plant_6;Article_1282;48;48
Supplier_351;Plant_8;Article_1283;5;5
Supplier_351;Plant_7;Article_1284;280;280
Supplier_351;Plant_7;Article_1285;300;300
Supplier_87;Plant_4;Article_1286;5220;5355
Supplier_321;Plant_4;Article_1289;1;8
Supplier_210;Plant_21;Article_1291;80;800
Supplier_351;Plant_7;Article_1292;260;260
Supplier_210;Plant_21;Article_1293;80;800
Supplier_87;Plant_4;Article_1294;60;60
Supplier_326;Plant_6;Article_1295;9;10,5
Supplier_332;Plant_6;Article_1295;6;6
Supplier_321;Plant_4;Article_1296;9;10,75
Supplier_351;Plant_7;Article_1298;200;200
Supplier_326;Plant_6;Article_1299;72;78
Supplier_332;Plant_6;Article_1299;144;144
Supplier_321;Plant_4;Article_13;34;39
Supplier_321;Plant_4;Article_1301;8;9
Supplier_87;Plant_4;Article_1302;10;10
Supplier_351;Plant_7;Article_1303;260;260
Supplier_326;Plant_6;Article_1304;324;360
Supplier_332;Plant_6;Article_1304;468;576
Supplier_321;Plant_4;Article_1305;2;2
Supplier_326;Plant_6;Article_1307;108;126
Supplier_332;Plant_6;Article_1307;180;180
Supplier_351;Plant_7;Article_1308;280;280
Supplier_210;Plant_21;Article_1309;210;210
Supplier_321;Plant_4;Article_1311;177;200
Supplier_87;Plant_4;Article_1312;120;120
Supplier_326;Plant_6;Article_1313;36;51
Supplier_332;Plant_6;Article_1313;48;60
Supplier_351;Plant_7;Article_1314;180;180
Supplier_210;Plant_21;Article_1315;210;210
Supplier_87;Plant_4;Article_1316;60;60
Supplier_321;Plant_4;Article_1317;20;23
Supplier_326;Plant_6;Article_1318;12;18
Supplier_332;Plant_6;Article_1318;12;12
Supplier_351;Plant_8;Article_1319;5;20
Supplier_219;Plant_21;Article_132;20;160
Supplier_87;Plant_4;Article_1320;120;120
Supplier_351;Plant_7;Article_1322;80;80
Supplier_210;Plant_21;Article_1323;210;210
Supplier_321;Plant_4;Article_1324;2;6,25
Supplier_326;Plant_6;Article_1325;558;585
Supplier_332;Plant_6;Article_1325;540;585
Supplier_351;Plant_8;Article_1326;10;172,5
Supplier_351;Plant_7;Article_1327;260;260
Supplier_210;Plant_21;Article_1328;210;210
Supplier_87;Plant_4;Article_1331;60;60
Supplier_321;Plant_4;Article_1332;45;50
Supplier_351;Plant_7;Article_1333;500;500
Supplier_156;Plant_19;Article_1334;20;40
Supplier_151;Plant_4;Article_1337;200;220
Supplier_325;Plant_4;Article_1339;780;960
Supplier_62;Plant_8;Article_134;122;122
Supplier_351;Plant_7;Article_1340;700;700
Supplier_156;Plant_19;Article_1341;20;20
Supplier_280;Plant_4;Article_1343;2000;2000
Supplier_151;Plant_4;Article_1344;80;80
Supplier_151;Plant_15;Article_1345;1020;1020
Supplier_351;Plant_7;Article_1347;1160;1160
Supplier_108;Plant_6;Article_1349;990;1260
Supplier_325;Plant_4;Article_1351;760;912
Supplier_351;Plant_7;Article_1353;700;700
Supplier_156;Plant_19;Article_1354;140;145
Supplier_351;Plant_8;Article_1359;40;363,75
Supplier_156;Plant_19;Article_1360;120;120
Supplier_351;Plant_7;Article_1364;1160;1160
Supplier_156;Plant_19;Article_1365;100;125
Supplier_151;Plant_4;Article_1367;224;224
Supplier_351;Plant_7;Article_1368;500;500
Supplier_156;Plant_19;Article_1369;100;125
Supplier_219;Plant_21;Article_137;20;120
Supplier_151;Plant_4;Article_1372;1520;1700
Supplier_156;Plant_19;Article_1377;100;120
Supplier_280;Plant_4;Article_1378;2100;2100
Supplier_151;Plant_4;Article_1381;160;220
Supplier_156;Plant_19;Article_1382;100;125
Supplier_280;Plant_4;Article_1385;2100;2100
Supplier_280;Plant_4;Article_139;594;648
Supplier_321;Plant_4;Article_1390;56;60,75
Supplier_156;Plant_19;Article_1391;30;40
Supplier_321;Plant_4;Article_1399;8;12
Supplier_156;Plant_19;Article_1400;20;40
Supplier_264;Plant_15;Article_1402;1120;1160
Supplier_156;Plant_19;Article_1403;480;480
Supplier_151;Plant_4;Article_1406;80;80
Supplier_280;Plant_4;Article_1407;2000;3000
Supplier_232;Plant_19;Article_1408;60;60
Supplier_62;Plant_8;Article_141;122;732
Supplier_280;Plant_4;Article_1411;2000;3000
Supplier_280;Plant_4;Article_1413;350;700
Supplier_156;Plant_19;Article_1414;140;145
Supplier_151;Plant_4;Article_1416;80;160
Supplier_264;Plant_15;Article_1418;120;140
Supplier_156;Plant_19;Article_1419;140;160
Supplier_151;Plant_4;Article_1421;80;80
Supplier_280;Plant_4;Article_1422;350;700
Supplier_214;Plant_4;Article_1425;18;27
Supplier_232;Plant_19;Article_1426;120;120
