#location_org;location_dest;commodity_name;interval_lowerbound;interval_upperbound
Supplier_26;Plant_9;Article_10004;6,428571429;20,88522073
Supplier_351;Plant_7;Article_10005;1,428571429;8,987860889
Supplier_26;Plant_9;Article_10006;320;477,1034102
Supplier_276;Plant_21;Article_10007;96,42857143;239,1070311
Supplier_261;Plant_15;Article_10008;16,07142857;38,02918021
Supplier_248;Plant_15;Article_10009;21,42857143;68,23109476
Supplier_248;Plant_15;Article_10016;21,42857143;68,23109476
Supplier_351;Plant_8;Article_1002;2,857142857;8,202367695
Supplier_347;Plant_9;Article_10022;32,14285714;126,6339754
Supplier_347;Plant_9;Article_10024;32,14285714;126,6339754
Supplier_321;Plant_4;Article_1003;0,392857143;1,078113824
Supplier_357;Plant_13;Article_10030;33,75;125,1042656
Supplier_357;Plant_13;Article_10033;33,75;125,1042656
Supplier_280;Plant_4;Article_10034;0,214285714;0,844226503
Supplier_357;Plant_13;Article_10035;33,75;125,1042656
Supplier_249;Plant_15;Article_10036;12;56,06056438
Supplier_275;Plant_21;Article_10037;4,285714286;13,64621895
Supplier_249;Plant_15;Article_10038;6;37,74901573
Supplier_357;Plant_13;Article_10039;33,57142857;124,9483154
Supplier_280;Plant_4;Article_10041;1,642857143;5,484290958
Supplier_275;Plant_21;Article_10043;4,285714286;13,64621895
Supplier_357;Plant_13;Article_10045;34,17857143;125,5184145
Supplier_280;Plant_4;Article_10046;0,107142857;0,523412509
Supplier_26;Plant_9;Article_10047;37,85714286;150,7765551
Supplier_325;Plant_15;Article_10048;46,42857143;115,7220581
Supplier_275;Plant_21;Article_10049;32,57142857;75,01130201
Supplier_151;Plant_4;Article_1005;62,85714286;125,8596203
Supplier_275;Plant_21;Article_10051;32,57142857;75,01130201
Supplier_325;Plant_15;Article_10053;39,28571429;102,1747154
Supplier_358;Plant_4;Article_10054;124,9642857;201,1227376
Supplier_280;Plant_4;Article_10056;0,607142857;2,479738317
Supplier_26;Plant_9;Article_10057;331,4285714;528,5308447
Supplier_358;Plant_4;Article_10058;4,357142857;11,13518084
Supplier_275;Plant_21;Article_10060;0,857142857;5,392716533
Supplier_351;Plant_8;Article_10061;530,0357143;1062,723065
Supplier_321;Plant_6;Article_10063;17,85714286;42,25464468
Supplier_26;Plant_9;Article_10064;150;943,7253933
Supplier_275;Plant_21;Article_10065;0,857142857;5,392716533
Supplier_26;Plant_9;Article_10066;7,5;23,88088317
Supplier_306;Plant_18;Article_10068;317,1071429;446,3595056
Supplier_26;Plant_9;Article_10069;335,7142857;513,2875808
Supplier_306;Plant_18;Article_10070;146,6071429;213,2734425
Supplier_26;Plant_9;Article_10071;22,5;88,64378278
Supplier_306;Plant_18;Article_10072;5,25;16,13194223
Supplier_26;Plant_9;Article_10075;120;754,9803147
Supplier_347;Plant_9;Article_10076;92,5;367,301275
Supplier_357;Plant_13;Article_10078;67,5;250,2085313
Supplier_351;Plant_8;Article_1008;2,857142857;7,843897801
Supplier_26;Plant_9;Article_10082;696,4285714;2757,259426
Supplier_33;Plant_9;Article_10083;274,2857143;414,3436226
Supplier_33;Plant_9;Article_10086;139,2857143;551,4518851
Supplier_33;Plant_9;Article_10087;2674,285714;3472,845264
Supplier_321;Plant_4;Article_1009;1,571428571;3,344239092
Supplier_26;Plant_9;Article_10090;198;786,0705425
Supplier_306;Plant_18;Article_10091;6402,857143;8690,963035
Supplier_26;Plant_9;Article_10093;85,71428571;354,7513694
Supplier_26;Plant_9;Article_10098;5,142857143;24,02595616
Supplier_275;Plant_21;Article_10107;6;21,49193338
Supplier_26;Plant_9;Article_10110;321,4285714;1266,339754
Supplier_358;Plant_4;Article_10112;2,178571429;4,761328661
Supplier_26;Plant_9;Article_10117;495;670,006239
Supplier_351;Plant_5;Article_10118;1615;4056,017547
Supplier_351;Plant_8;Article_1012;3,571428571;9,933518674
Supplier_280;Plant_4;Article_10120;0,535714286;1,640657484
Supplier_275;Plant_21;Article_10121;0,857142857;5,392716533
Supplier_26;Plant_9;Article_10123;495;668,3527723
Supplier_280;Plant_4;Article_10124;3,5;8,905758247
Supplier_275;Plant_21;Article_10126;6;21,49193338
Supplier_26;Plant_9;Article_10128;488,5714286;704,2809839
Supplier_321;Plant_4;Article_1013;1,321428571;3,107248674
Supplier_351;Plant_5;Article_10132;31,57142857;46,03576164
Supplier_33;Plant_9;Article_10133;1099,285714;1531,675844
Supplier_351;Plant_5;Article_10135;325,7142857;657,6606064
Supplier_33;Plant_9;Article_10136;1053,571429;1434,060532
Supplier_351;Plant_5;Article_10137;6,857142857;28,59073912
Supplier_275;Plant_21;Article_10138;0,857142857;5,392716533
Supplier_26;Plant_9;Article_10139;500;668,0987364
Supplier_151;Plant_4;Article_1014;2,357142857;7,754084966
Supplier_351;Plant_5;Article_10141;683,9285714;911,3837243
Supplier_26;Plant_9;Article_10143;140;554,1869322
Supplier_351;Plant_5;Article_10146;29,35714286;44,84958853
Supplier_26;Plant_9;Article_10148;41,14285714;164,8814449
Supplier_237;Plant_21;Article_10149;6,428571429;25,32679508
Supplier_351;Plant_5;Article_10150;684,6428571;913,3021078
Supplier_110;Plant_15;Article_10151;37,14285714;85,05459257
Supplier_110;Plant_15;Article_10153;88,57142857;190,8344984
Supplier_26;Plant_9;Article_10156;34,28571429;139,4948032
Supplier_358;Plant_4;Article_10157;1,857142857;4,547513694
Supplier_351;Plant_5;Article_10158;20,71428571;49,76450678
Supplier_26;Plant_9;Article_10159;14,85714286;59,29079234
Supplier_26;Plant_9;Article_10162;30,85714286;129,6729889
Supplier_26;Plant_9;Article_10164;5,571428571;24,46965222
Supplier_14;Plant_5;Article_10165;5120;6197,167066
Supplier_351;Plant_5;Article_10166;104,2857143;265,4258321
Supplier_351;Plant_8;Article_1017;2,5;6,909585518
Supplier_351;Plant_5;Article_10170;48,57142857;85,56134569
Supplier_26;Plant_9;Article_10172;25,71428571;103,0509031
Supplier_26;Plant_9;Article_10173;214,2857143;858,7575254
Supplier_351;Plant_5;Article_10174;22,14285714;52,12521527
Supplier_351;Plant_5;Article_10177;295,7142857;711,6685974
Supplier_321;Plant_4;Article_1018;13,60714286;25,31133421
Supplier_347;Plant_9;Article_10182;25;100,1541625
Supplier_351;Plant_5;Article_10184;653,5714286;1565,322752
Supplier_351;Plant_5;Article_10189;1209,285714;2180,111741
Supplier_351;Plant_5;Article_10194;6,785714286;22,19460336
Supplier_110;Plant_15;Article_10196;90,85714286;195,2828082
Supplier_351;Plant_5;Article_10197;0,285714286;1,797572178
Supplier_151;Plant_4;Article_1020;5,75;30,46710309
Supplier_110;Plant_15;Article_10200;557,7142857;1271,740059
Supplier_26;Plant_9;Article_10201;25;99,91971011
Supplier_26;Plant_9;Article_10203;187,5;746,8688573
Supplier_26;Plant_9;Article_10205;107,1428571;422,1132513
Supplier_351;Plant_5;Article_10207;67,85714286;173,8745119
Supplier_110;Plant_15;Article_10208;35,42857143;80,96685697
Supplier_219;Plant_21;Article_1022;142,8571429;898,7860889
Supplier_351;Plant_8;Article_1026;116,6071429;233,4962449
Supplier_321;Plant_4;Article_1027;1,928571429;4,649254505
Supplier_151;Plant_4;Article_1029;21,32142857;62,29933913
Supplier_321;Plant_4;Article_1032;3,857142857;8,568942747
Supplier_351;Plant_8;Article_1033;115,6071429;230,7007728
Supplier_312;Plant_4;Article_1036;7,285714286;21,49279948
Supplier_321;Plant_4;Article_1038;0,285714286;0,998410931
Supplier_321;Plant_4;Article_1042;2,142857143;5,070557362
Supplier_312;Plant_4;Article_1043;67,57142857;92,92438672
Supplier_321;Plant_4;Article_1048;1,428571429;3,399256052
Supplier_151;Plant_15;Article_105;12;56,06056438
Supplier_312;Plant_4;Article_1051;213,7142857;281,1536177
Supplier_312;Plant_4;Article_1056;124,7142857;164,4922408
Supplier_210;Plant_21;Article_1057;40;139,7775303
Supplier_210;Plant_21;Article_1062;40;139,7775303
Supplier_321;Plant_4;Article_1064;9,285714286;18,86136683
Supplier_351;Plant_8;Article_1065;35;73,22448314
Supplier_151;Plant_4;Article_1068;12;28,03699427
Supplier_351;Plant_8;Article_1070;6,964285714;16,80931508
Supplier_321;Plant_4;Article_1072;4,892857143;10,33847574
Supplier_165;Plant_6;Article_1078;8,571428571;27,29243791
Supplier_351;Plant_8;Article_1079;3,392857143;8,845272752
Supplier_321;Plant_4;Article_1083;51,78571429;97,89778159
Supplier_321;Plant_4;Article_1084;0,714285714;2,274369825
Supplier_351;Plant_8;Article_1086;32,32142857;70,0456261
Supplier_276;Plant_18;Article_1088;10,28571429;34,49905181
Supplier_151;Plant_4;Article_1089;211;347,2117089
Supplier_321;Plant_4;Article_1090;16,42857143;31,14673499
Supplier_351;Plant_8;Article_1091;6,428571429;16,32218542
Supplier_151;Plant_4;Article_1094;317;509,1931898
Supplier_151;Plant_15;Article_1095;6;27,54065923
Supplier_321;Plant_4;Article_1097;14,21428571;27,68127455
Supplier_351;Plant_8;Article_1098;2,678571429;7,857256886
Supplier_351;Plant_7;Article_110;2,142857143;13,48179133
Supplier_151;Plant_4;Article_1101;12;28,03699427
Supplier_321;Plant_4;Article_1102;6,321428571;12,10168598
Supplier_351;Plant_8;Article_1103;11,07142857;24,63589351
Supplier_165;Plant_6;Article_1107;8,571428571;27,29243791
Supplier_351;Plant_8;Article_1109;9,285714286;21,28218643
Supplier_151;Plant_4;Article_1111;212;348,6260102
Supplier_321;Plant_4;Article_1112;2,678571429;6,537697903
Supplier_214;Plant_18;Article_1114;120;232,9955751
Supplier_351;Plant_8;Article_1115;1,785714286;4,893138405
Supplier_151;Plant_4;Article_1119;320;514,0538299
Supplier_321;Plant_4;Article_1120;4,75;9,98255479
Supplier_214;Plant_18;Article_1121;111,5;215,8833746
Supplier_351;Plant_8;Article_1122;1,964285714;5,108735768
Supplier_151;Plant_4;Article_1123;0,535714286;2,179606299
Supplier_321;Plant_4;Article_1125;0,678571429;2,335287758
Supplier_210;Plant_21;Article_1126;23,21428571;93,24356908
Supplier_132;Plant_18;Article_1127;92,21428571;166,4627959
Supplier_351;Plant_8;Article_1129;15,89285714;36,39821197
