#tariff_name	tariff_costs	up_to_kg	up_to_m3	up_to_LDM	up_to_LU	up_to_m2	up_to_AU	up_to_price
FTL||Supplier_1||Hub_81||FTL_PT-GB_2000	1903.06	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_1||Hub_82||FTL_PT-ES_1500	1171.84	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_1||Hub_83||FTL_PT-DE_W_2500	2289.46	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_1||Hub_84||FTL_PT-IT_2500	2194.54	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_1||Hub_85||FTL_PT-DE_W_2500	2489.12	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_2||Hub_81||FTL_PT-GB_2000	1789.13	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_2||Hub_82||FTL_PT-ES_1500	1127.73	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_2||Hub_83||FTL_PT-DE_W_2500	2186.89	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_2||Hub_84||FTL_PT-IT_2500	2129.33	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_2||Hub_85||FTL_PT-DE_W_2500	2400.87	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_3||Hub_81||FTL_PT-GB_2000	1749.98	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_3||Hub_82||FTL_PT-ES_1500	1121.75	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_3||Hub_83||FTL_PT-DE_W_2000	2154.99	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_3||Hub_84||FTL_PT-IT_2000	2114	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_3||Hub_85||FTL_PT-DE_W_2500	2375.74	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_4||Hub_81||FTL_PT-GB_2000	1774.96	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_4||Hub_82||FTL_PT-ES_1500	1120.39	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_4||Hub_83||FTL_PT-DE_W_2500	2173.11	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_4||Hub_84||FTL_PT-IT_2500	2119.28	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_4||Hub_85||FTL_PT-DE_W_2500	2388.35	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_5||Hub_81||FTL_Welt_Welt_2500	4711.47	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_5||Hub_82||FTL_Welt_Welt_1500	2403.87	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_5||Hub_83||FTL_Welt_Welt_2500	5051.82	24000	102	13.6	$inf	$inf	$inf	$inf
FTL||Supplier_5||Hub_84||FTL_Welt_Welt_2500	4391.15	24000	102	13.6	$inf	$inf	$inf	$inf
