#location_org,location_dest,commodity_name,demand,Org_Country,Des_country,weight,vol,Weight per package,Volume per package,Split amount,Dock,Search Result,Start pos,End Pos,Length,Text,Count _,Pos last _,Sustitute last _
Supplier_35,Plant_1,Article_1969,12000,FR_N,FR_N,14.0000004,0.0129924,14.0000004,0.0129924,1,1,FTL||Supplier_35||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_35||Plant_1||FTL_FR_N-FR_N!100
Supplier_17,Plant_1,Article_5959,20,FR_N,FR_N,740,5.292,740,5.292,1,1,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_5965,350,FR_N,FR_N,12950,92.61,6475,46.305,2,5,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_9426,480,FR_N,FR_N,17760,127.008,5920,42.336,3,3,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_9422,8,FR_N,FR_N,308.4444444448,2.352,308.4444444448,2.352,1,1,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8786,100,FR_N,FR_N,3700,26.46,3700,26.46,1,5,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8792,910,FR_N,FR_N,33670,240.786,6734,48.1572,5,2,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8796,45,FR_N,FR_N,1735.000000002,13.23,1735.000000002,13.23,1,1,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8802,36,FR_N,FR_N,1332,9.5256,1332,9.5256,1,1,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8761,180,FR_N,FR_N,6660,47.628,6660,47.628,1,5,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8736,50,FR_N,FR_N,1850,13.23,1850,13.23,1,1,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_17,Plant_1,Article_8731,450,FR_N,FR_N,16650,119.07,5550,39.69,3,5,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N_500,32,36,44,FR_N_500,6,41,FTL||Supplier_17||Plant_1||FTL_FR_N-FR_N!500
Supplier_42,Plant_1,Article_9861,224,FR_N,FR_N,1338.4,18.522,1338.4,18.522,1,2,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_9858,3552,FR_N,FR_N,21223.2,293.706,3537.2,48.951,6,1,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_9851,3552,FR_N,FR_N,21223.2,293.706,3537.2,48.951,6,3,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_9843,1280,FR_N,FR_N,7648,105.84,2549.33333333333,35.28,3,1,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_9837,1280,FR_N,FR_N,7648,105.84,2549.33333333333,35.28,3,5,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_9247,980,FR_N,FR_N,6468,92.61,3234,46.305,2,2,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_9252,980,FR_N,FR_N,6468,92.61,3234,46.305,2,3,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_1529,560,FR_N,FR_N,3060.4,46.305,3060.4,46.305,1,4,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_1597,560,FR_N,FR_N,3060.4,46.305,3060.4,46.305,1,5,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_3620,320,FR_N,FR_N,1748.8,26.46,1748.8,26.46,1,5,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_3575,1376,FR_N,FR_N,7519.84,113.778,2506.61333333333,37.926,3,3,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_3568,1764,FR_N,FR_N,7467.5999999412,111.132,2489.1999999804,37.044,3,1,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_3591,192,FR_N,FR_N,1049.28,15.876,1049.28,15.876,1,5,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_3583,1376,FR_N,FR_N,7519.84,113.778,2506.61333333333,37.926,3,3,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
Supplier_42,Plant_1,Article_3680,288,FR_N,FR_N,1573.92,23.814,1573.92,23.814,1,3,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N_100,32,36,44,FR_N_100,6,41,FTL||Supplier_42||Plant_1||FTL_FR_N-FR_N!100
