#commodity_name	kg	m3	LDM	LU	m2	AU	price
Article_1	0.0566666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.22
Article_2	0.9986666667	0.0096	0.0013333333	0.0133333333	0.0128	1	5445
Article_3	0.0415	0.0012122	0.0002924731	0.02	0.00638	1	120.3333333333
Article_4	1.405	0.018	0.0025	0.025	0.024	1	884
Article_5	1.405	0.018	0.0025	0.025	0.024	1	294.6666666667
Article_6	1.085	0.0087	0.0013888889	0.125	0.03	1	9.41
Article_7	0.9010909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	4094
Article_8	1.405	0.018	0.0025	0.025	0.024	1	294.6666666667
Article_9	0.0566666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.22
Article_10	0.023	0.00024	5.55556E-05	0.0033333333	0.0008	1	136
Article_11	0.089	0.0009322	0.0001564297	0.0142857143	0.0033292857	1	0.35
Article_12	1.085	0.0087	0.0013888889	0.125	0.03	1	9.41
Article_13	0.9010909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	4094
Article_14	0.0566666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.22
Article_15	0.118	0.0012122	0.0002924731	0.02	0.00638	1	92.6666666667
Article_16	0.0191	0.000132	5E-05	0.001	0.00024	1	10.1
Article_17	1.537037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	10.12
Article_18	0.9010909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	4094
Article_19	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_20	0.268	0.0012122	0.0002924731	0.02	0.00638	1	92.6666666667
Article_21	1.4416666667	0.0165	0.0024216524	0.0138888889	0.0166666667	1	1
Article_22	1.405	0.018	0.0025	0.025	0.024	1	151.3333333333
Article_23	0.6396666667	0.013629	0.0041975309	0.0833333333	0.048675	1	1.33
Article_24	0.5150909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	3180
Article_25	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.09
Article_26	0.1222727273	0.000598752	0.0001515152	0.0090909091	0.0021384	1	144.5633333333
Article_27	0.6396666667	0.013629	0.0041975309	0.0833333333	0.048675	1	1.33
Article_28	0.5150909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	3180
Article_29	1.405	0.018	0.0025	0.025	0.024	1	454
Article_30	0.9010909091	0.0065454545	0.0009090909	0.0090909091	0.0087272727	1	4094
Article_31	1.405	0.018	0.0025	0.025	0.024	1	294.6666666667
Article_32	0.0566666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.22
Article_33	0.0275	0.0006	0.0001388889	0.0083333333	0.002	1	136
Article_34	0.6126666667	0.0096	0.0013333333	0.0133333333	0.0128	1	4229
Article_35	1.405	0.018	0.0025	0.025	0.024	1	151.3333333333
Article_36	1.4416666667	0.0165	0.0024216524	0.0138888889	0.0166666667	1	1
Article_37	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.09
Article_38	0.1222727273	0.000598752	0.0001515152	0.0090909091	0.0021384	1	144.5633333333
Article_39	0.0566666667	0.000548856	0.0002777778	0.0083333333	0.0019602	1	0.22
Article_40	0.275	0.0026345088	0.0013333333	0.04	0.00940896	1	0.67
Article_41	0.4655	0.00357	0.0010625	0.005	0.0051	1	68.38
Article_42	1.587037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	6.78
Article_43	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_44	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_45	0.275	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_46	0.0337142857	0.00024	5.95238E-05	0.0035714286	0.0008571429	1	15
Article_47	1.6866666667	0.0167389667	0.0023611111	0.0166666667	0.0172566667	1	2.74
Article_48	0.266	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_49	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_50	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_51	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_52	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_53	0.665	0.0035	0.0005246914	0.0083333333	0.005	1	2.05
Article_54	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_55	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_56	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_57	0.268	0.0012122	0.0002924731	0.02	0.00638	1	156.3333333333
Article_58	0.9111111111	0.01297725	0.0024216524	0.0138888889	0.0166375	1	15.47
Article_59	0.0337142857	0.00024	5.95238E-05	0.0035714286	0.0008571429	1	15
Article_60	0.119	0.0006061	0.0001462366	0.01	0.00319	1	76
Article_61	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	117.2066666667
Article_62	0.938	0.00696	0.0011111111	0.1	0.024	1	7.06
Article_63	0.275	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_64	0.266	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_65	0.275	0.00151525	0.0003655914	0.025	0.007975	1	160
Article_66	0.0256964286	0.000147015	3.72024E-05	0.0022321429	0.0005250536	1	27.8
Article_67	0.9111111111	0.01297725	0.0024216524	0.0138888889	0.0166375	1	15.47
Article_68	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_69	0.9986666667	0.0096	0.0013333333	0.0133333333	0.0128	1	5445
Article_70	0.938	0.00696	0.0011111111	0.1	0.024	1	7.06
Article_71	0.0256964286	0.000147015	3.72024E-05	0.0022321429	0.0005250536	1	27.8
Article_72	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_73	0.00646	0.000128	3.33333E-05	0.001	0.00032	1	2
Article_74	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_75	0.938	0.00696	0.0011111111	0.1	0.024	1	7.06
Article_76	0.275	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_77	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	0.9
Article_78	0.0337142857	0.00024	5.95238E-05	0.0035714286	0.0008571429	1	15
Article_79	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_80	1.068	0.00696	0.0011111111	0.1	0.024	1	6.78
Article_81	0.125	0.0008658571	0.0002089094	0.0142857143	0.0045571429	1	79.3333333333
Article_82	0.275	0.0026345088	0.0013333333	0.04	0.00940896	1	0.55
Article_83	0.2326666667	0.001048725	0.0001493193	0.0166666667	0.0038841667	1	4.74
Article_84	0.552	0.00411642	0.0020833333	0.0625	0.0147015	1	2.82
Article_85	0.0589	0.00084	0.0002083333	0.0125	0.003	1	25
Article_86	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_87	1.068	0.00696	0.0011111111	0.1	0.024	1	7.24
Article_88	0.552	0.00411642	0.0020833333	0.0625	0.0147015	1	2.82
Article_89	0.2025	0.00137214	0.0003472222	0.0208333333	0.0049005	1	414
Article_90	0.9111111111	0.01297725	0.0024216524	0.0138888889	0.0166375	1	15.47
Article_91	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_92	2.28	0.075686967	0.0121428571	1	0.178929	1	12.83
Article_93	0.046796875	0.0005097969	8.55475E-05	0.0078125	0.0018207031	1	0.21
Article_94	1.587037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	6.77
Article_95	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_96	0.9111111111	0.01297725	0.0024216524	0.0138888889	0.0166375	1	15.47
Article_97	1.068	0.00696	0.0011111111	0.1	0.024	1	7.24
Article_98	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_99	0.0589	0.00084	0.0002083333	0.0125	0.003	1	25
Article_100	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.09
Article_101	0.046796875	0.0005097969	8.55475E-05	0.0078125	0.0018207031	1	0.21
Article_102	0.9111111111	0.01297725	0.0024216524	0.0138888889	0.0166375	1	15.47
Article_103	0.0414375	0.0004078375	6.8438E-05	0.00625	0.0014565625	1	0.29
Article_104	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_105	0.5921428571	0.0069863095	0.001037851	0.005952381	0.007202381	1	1.87
Article_106	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_107	0.9111111111	0.01297725	0.0024216524	0.0138888889	0.0166375	1	15.47
Article_108	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	339.5
Article_109	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	0.01
Article_110	0.2326666667	0.001048725	0.0001493193	0.0166666667	0.0038841667	1	4.74
Article_111	0.258	0.001646568	0.0008333333	0.025	0.0058806	1	0.46
Article_112	1.085	0.0087	0.0013888889	0.125	0.03	1	9.42
Article_113	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_114	0.0589	0.00084	0.0002083333	0.0125	0.003	1	25
Article_115	0.258	0.001646568	0.0008333333	0.025	0.0058806	1	0.46
Article_116	1.085	0.0087	0.0013888889	0.125	0.03	1	9.42
Article_117	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	0.01
Article_118	0.0589	0.00084	0.0002083333	0.0125	0.003	1	25
Article_119	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	117.2066666667
Article_120	0.6236666667	0.013629	0.0041975309	0.0833333333	0.048675	1	1.38
Article_121	0.2326666667	0.001048725	0.0001493193	0.0166666667	0.0038841667	1	4.74
Article_122	0.046796875	0.0005097969	8.55475E-05	0.0078125	0.0018207031	1	0.21
Article_123	1.587037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	7
Article_124	0.6236666667	0.013629	0.0041975309	0.0833333333	0.048675	1	1.38
Article_125	0.046796875	0.0005097969	8.55475E-05	0.0078125	0.0018207031	1	0.21
Article_126	0.0589	0.00084	0.0002083333	0.0125	0.003	1	25
Article_127	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_128	0.2326666667	0.001048725	0.0001493193	0.0166666667	0.0038841667	1	4.74
Article_129	1.587037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	7
Article_130	0.163175	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_131	0.6147619048	0.0047825619	0.0006746032	0.0047619048	0.0049304762	1	1.24
Article_132	0.3985	0.003567	0.0008585859	0.05	0.0123	1	2.46
Article_133	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	0.01
Article_134	0.3778688525	0.0060438689	0.0015925059	0.0081967213	0.007195082	1	1
Article_135	1.085	0.0087	0.0013888889	0.125	0.03	1	9.41
Article_136	0.0527888889	0.0007466667	0.0001851852	0.0111111111	0.0026666667	1	8.6666666667
Article_137	0.3985	0.003567	0.0008585859	0.05	0.0123	1	2.46
Article_138	0.00133	3.528E-06	2E-06	0.0002	2.4E-05	1	0.08
Article_139	0.1504814815	0.0012444444	0.000308642	0.0185185185	0.0044444444	1	9.28
Article_140	16.96	0.15	0.0217948718	0.125	0.15	1	39
Article_141	0.3778688525	0.0060438689	0.0015925059	0.0081967213	0.007195082	1	1
Article_142	1.537037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	9.42
Article_143	0.0218	0.0001317254	6.66667E-05	0.002	0.000470448	1	0.1
Article_144	0.0925925926	0.0004977778	0.0001234568	0.0074074074	0.0017777778	1	35.4
Article_145	0.2425	0.00205821	0.0010416667	0.03125	0.00735075	1	4.13
Article_146	0.0526888889	0.0007466667	0.0001851852	0.0111111111	0.0026666667	1	8.6666666667
Article_147	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_148	1.2948717949	0.0064380641	0.0009081197	0.0064102564	0.0066371795	1	16.9
Article_149	1.085	0.0087	0.0013888889	0.125	0.03	1	9.41
Article_150	0.0625666667	0.00056	0.0001388889	0.0083333333	0.002	1	9.2233333333
Article_151	0.3985	0.003567	0.0008585859	0.05	0.0123	1	2.46
Article_152	0.2425	0.00205821	0.0010416667	0.03125	0.00735075	1	4.13
Article_153	1.085	0.0087	0.0013888889	0.125	0.03	1	9.4
Article_154	0.0526888889	0.0007466667	0.0001851852	0.0111111111	0.0026666667	1	8.6666666667
Article_155	0.2280888889	0.0021513311	0.0003148148	0.0022222222	0.0023008889	1	18.86
Article_156	0.0589	0.00084	0.0002083333	0.0125	0.003	1	25
Article_157	0.1595	0.0013172544	0.0006666667	0.02	0.00470448	1	0.33
Article_158	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.09
Article_159	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_160	1.52	0.058653	0.008994709	0.1666666667	0.1197	1	11.97
Article_161	1.587037037	0.0092994259	0.0013117284	0.0092592593	0.009587037	1	6.99
Article_162	0.099	0.0009322	0.0001564297	0.0142857143	0.0033292857	1	0.35
Article_163	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_164	0.00133	3.528E-06	2E-06	0.0002	2.4E-05	1	0.08
Article_165	0.0527888889	0.0007466667	0.0001851852	0.0111111111	0.0026666667	1	13.17
Article_166	0.057275	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_167	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	339.5
Article_168	1.52	0.058653	0.008994709	0.1666666667	0.1197	1	11.97
Article_169	0.0527888889	0.0007466667	0.0001851852	0.0111111111	0.0026666667	1	26
Article_170	0.6772222222	0.0132666667	0.0018518519	0.0138888889	0.0133333333	1	1.09
Article_171	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	210
Article_172	0.392	0.004390848	0.0011111111	0.0666666667	0.0156816	1	113.1666666667
Article_173	1.135	0.0087	0.0013888889	0.125	0.03	1	7.46
Article_174	0.3778688525	0.0060438689	0.0015925059	0.0081967213	0.007195082	1	1
Article_175	0.164875	0.001029105	0.0002604167	0.015625	0.003675375	1	0.01
Article_176	0.1504814815	0.0012444444	0.000308642	0.0185185185	0.0044444444	1	9.28
Article_177	1.135	0.0087	0.0013888889	0.125	0.03	1	7.46
Article_178	0.0527888889	0.0007466667	0.0001851852	0.0111111111	0.0026666667	1	8.6666666667
