,Operator Analysis for Inst1_Ord_80_Veh_45_Loc_45 

Bit Strings represent use of the following operators in order: 
,swapf,exch3,2-opt,rrif,rncic,reig,rsirg

Operators (1=used), Initial Objective, Average Objective,Best Objective,Best Realtive to Average,Average Run Time
0000000,0.0,0.0,0.0,NaN,0.0
0000001,6422128.600396535,21431.097477302937,21228.25295237369,0.009464962078777154,18.694046980000003
0000010,6422128.600396535,21634.793886220003,20991.180152249373,0.02974901158547993,13.864619672
0000011,6422128.600396535,21333.385183858627,20778.05595244816,0.026030994454206056,17.414205915
0000100,6422128.600396535,50577.670330491455,43744.49948897434,0.13510252245441293,24.942787545500003
0000101,6422128.600396535,23676.78725486568,21320.22447433408,0.09953051295197646,27.6992928602
0000110,6422128.600396535,23768.273217662114,21225.36245347096,0.10698761079124279,20.2748005139
0000111,6422128.600396535,22146.04442938243,20983.277639919685,0.05250449095640914,18.3899553239
0001000,6422128.600396535,29792.143586584687,28237.847961715484,0.052171325650064916,0.5965013274
0001001,6422128.600396535,23231.908290093634,20855.38246717405,0.10229576465455323,21.451377214500003
0001010,6422128.600396535,22816.926441411455,20920.375921157032,0.08312033284256415,18.892057875699997
0001011,6422128.600396535,21767.83855517645,21040.677863623,0.03340527768571352,18.648677582000005
0001100,6422128.600396535,26232.635530776053,24644.730602198462,0.06053165823596586,8.201109629000001
0001101,6422128.600396535,24319.524514331795,22292.492425852317,0.08334998849524888,23.3958103397
0001110,6422128.600396535,21697.670175570212,21116.090220124945,0.026803797400334665,15.363126085800001
0001111,6422128.600396535,22319.64658647722,20798.15349581964,0.0681683325388946,19.8275863384
0010000,6422128.600396535,6422128.600396535,6422128.600396535,0.0,0.1725900245
0010001,6422128.600396535,21553.187163817875,21014.496101406836,0.024993568622433678,16.8953794993
0010010,6422128.600396535,21640.51750830049,21258.098553122196,0.01767143299746012,12.808840756
0010011,6422128.600396535,21387.519945326243,20736.474934881502,0.030440416285246387,15.370084954300001
0010100,6422128.600396535,47101.55181183027,36843.12054985085,0.21779391267110781,20.8319037741
0010101,6422128.600396535,23552.386317201683,21735.65561655956,0.07713573801713913,22.5197215348
0010110,6422128.600396535,24508.85568392049,21359.13764354871,0.1285134679885611,17.5467077739
0010111,6422128.600396535,22739.53513296579,20748.66092830525,0.0875512271037742,20.5814921046
