,Operator Analysis for Inst1_Ord_12_Veh_7_Loc_9 

Bit Strings represent use of the following operators in order: 
,swapf,exch3,2-opt,rrif,rncic,reig,rsirg

Operators (1=used), Initial Objective, Average Objective,Best Objective,Best Realtive to Average,Average Run Time
0000000,0.0,0.0,0.0,NaN,0.0
0000001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5885356482999999
0000010,1023745.5137204396,154236.71515287244,149692.89077122364,0.02946006971910134,0.6043067945
0000011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5637899051999999
0000100,1023745.5137204396,151143.0140116166,149692.38751349074,0.009597707890186378,0.5835679581000001
0000101,1023745.5137204396,149692.43783926405,149692.38751349074,3.3619449341295936E-7,0.5045282601000001
0000110,1023745.5137204396,151190.9442813038,149692.38751349074,0.009911683367919526,0.5595736093999999
0000111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5458708499
0001000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.49212089589999997
0001001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4735186843
0001010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.543946237
0001011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5342114781
0001100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.536278016
0001101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5208898524000001
0001110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5672471146
0001111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.544618876
0010000,1023745.5137204396,160850.47830416303,150170.49895588995,0.06639693870277202,0.056797428700000006
0010001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.37827931969999995
0010010,1023745.5137204396,151338.88554538865,149692.38751349074,0.010879543786544531,0.4573140939
0010011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4838527867999999
0010100,1023745.5137204396,149788.17925319116,149692.38751349074,6.395146811852278E-4,0.47887303349999993
0010101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5174302757
0010110,1023745.5137204396,149789.70906136738,149692.38751349074,6.497211890355187E-4,0.6632819148
0010111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.8533259080000001
0011000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.5033636892
0011001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4267478811
0011010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5184035102
0011011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.48143225
0011100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4961279177
0011101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.48449403049999995
0011110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5260475467
0011111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.5118476707999999
0100000,1023745.5137204396,154862.4137117399,150170.49895588995,0.03029731129325841,0.08264398989999999
0100001,1023745.5137204396,149692.43783926405,149692.38751349074,3.3619449341295936E-7,0.25237853239999997
0100010,1023745.5137204396,149797.7961067105,149692.38751349074,7.03672523624272E-4,0.31968253950000003
0100011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3587389516
0100100,1023745.5137204396,152739.0913970759,149692.38751349074,0.01994711279029841,0.30961646310000007
0100101,1023745.5137204396,149741.64250133405,149692.38751349074,3.2893313456787253E-4,0.34308657319999997
0100110,1023745.5137204396,152357.5312263129,149692.38751349074,0.017492694265722395,0.4186789847
0100111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.47605498710000005
0101000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.33300434790000005
0101001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3381892143
0101010,1023745.5137204396,149692.43783926405,149692.38751349074,3.3619449341295936E-7,0.3812736691
