#location_org;location_dest;commodity_name;demand
Supplier_273;Plant_3;Article_2260;4.900,0000000000
Supplier_75;Plant_3;Article_2215;297,0000000000
Supplier_129;Plant_3;Article_1954;450,0000000000
Supplier_129;Plant_3;Article_2070;1.007,1428571429
Supplier_129;Plant_3;Article_5528;396,0000000000
Supplier_53;Plant_3;Article_5236;750,0000000000
Supplier_122;Plant_3;Article_2137;236,1428571429
Supplier_122;Plant_3;Article_2155;141,4285714286
Supplier_122;Plant_3;Article_2081;141,4285714286
Supplier_19;Plant_3;Article_4746;1.890,0000000000
Supplier_19;Plant_3;Article_4737;2.160,0000000000
Supplier_19;Plant_3;Article_4756;2.204,8000000000
Supplier_19;Plant_3;Article_4750;2.080,0000000000
Supplier_209;Plant_3;Article_2332;3.728,5714285714
Supplier_59;Plant_3;Article_5221;1.650,0000000000
Supplier_163;Plant_3;Article_4720;4.400,0000000000
Supplier_18;Plant_3;Article_8395;2.400,0000000000
Supplier_79;Plant_3;Article_2790;9.714,2857142857
Supplier_79;Plant_3;Article_2844;14.000,0000000000
Supplier_79;Plant_3;Article_7152;28.000,0000000000
Supplier_79;Plant_3;Article_4716;3.985,7142857143
Supplier_249;Plant_10;Article_7119;2.016,0000000000
Supplier_249;Plant_10;Article_7123;2.088,0000000000
Supplier_59;Plant_10;Article_6829;3.750,0000000000
Supplier_59;Plant_10;Article_1813;5.000,0000000000
Supplier_59;Plant_10;Article_3213;2.000,0000000000
Supplier_59;Plant_10;Article_3218;6.375,0000000000
Supplier_59;Plant_10;Article_3657;4.375,0000000000
Supplier_59;Plant_10;Article_3952;3.000,0000000000
Supplier_59;Plant_10;Article_4470;1.250,0000000000
Supplier_325;Plant_10;Article_3268;180,0000000000
Supplier_325;Plant_10;Article_3285;189,0000000000
Supplier_325;Plant_10;Article_3288;220,0000000000
Supplier_325;Plant_10;Article_3293;102,8571428571
Supplier_325;Plant_10;Article_3302;100,0000000000
Supplier_325;Plant_10;Article_7193;214,2857142857
Supplier_325;Plant_10;Article_7183;546,4285714286
Supplier_325;Plant_10;Article_7180;664,2857142857
Supplier_325;Plant_10;Article_7181;225,0000000000
Supplier_325;Plant_10;Article_7177;803,5714285714
Supplier_325;Plant_10;Article_7171;75,0000000000
Supplier_325;Plant_10;Article_7099;214,2857142857
Supplier_325;Plant_10;Article_7104;589,2857142857
Supplier_325;Plant_10;Article_7093;200,0000000000
Supplier_274;Plant_10;Article_2775;91,4285714286
Supplier_274;Plant_10;Article_3120;45,7142857143
Supplier_274;Plant_10;Article_3148;85,7142857143
Supplier_274;Plant_10;Article_5202;1.017,1428571429
Supplier_274;Plant_10;Article_5177;508,5714285714
Supplier_274;Plant_10;Article_5358;474,2857142857
Supplier_274;Plant_10;Article_5643;45,7142857143
