#location_org;location_dest;commodity_name;demand
Supplier_337;Plant_1;Article_9733;2.317,4489795918
Supplier_35;Plant_1;Article_1969;10.285,7142857143
Supplier_1;Plant_1;Article_9845;347,7551020408
Supplier_1;Plant_1;Article_9901;6.000,6122448980
Supplier_1;Plant_1;Article_9887;1.525,7142857143
Supplier_1;Plant_1;Article_9875;1.770,6122448980
Supplier_1;Plant_1;Article_9550;675,3061224490
Supplier_1;Plant_1;Article_9554;421,8367346939
Supplier_1;Plant_1;Article_9563;1.973,8775510204
Supplier_1;Plant_1;Article_9571;1.973,8775510204
Supplier_1;Plant_1;Article_2891;4.092,8571428571
Supplier_1;Plant_1;Article_2903;2.385,7142857143
Supplier_1;Plant_1;Article_2914;2.485,7142857143
Supplier_1;Plant_1;Article_2652;1.498,7755102041
Supplier_1;Plant_1;Article_1820;225,0000000000
Supplier_1;Plant_1;Article_1830;1.464,4897959184
Supplier_1;Plant_1;Article_1804;765,0000000000
Supplier_1;Plant_1;Article_1815;1.264,5918367347
Supplier_1;Plant_1;Article_1865;755,8163265306
Supplier_17;Plant_1;Article_5959;7,5000000000
Supplier_17;Plant_1;Article_5965;155,0000000000
Supplier_17;Plant_1;Article_9426;326,7857142857
Supplier_17;Plant_1;Article_9422;9,1428571429
Supplier_17;Plant_1;Article_8786;79,6428571429
Supplier_17;Plant_1;Article_8792;525,7142857143
Supplier_17;Plant_1;Article_8796;18,3214285714
Supplier_17;Plant_1;Article_8802;17,6785714286
Supplier_17;Plant_1;Article_8761;102,5357142857
Supplier_17;Plant_1;Article_8736;16,4285714286
Supplier_17;Plant_1;Article_8731;232,5000000000
Supplier_42;Plant_1;Article_9861;74,2857142857
Supplier_42;Plant_1;Article_9858;3.165,7142857143
Supplier_42;Plant_1;Article_9851;3.168,0000000000
Supplier_42;Plant_1;Article_9843;1.081,1428571429
Supplier_42;Plant_1;Article_9837;1.080,0000000000
Supplier_42;Plant_1;Article_9247;1.017,0000000000
Supplier_42;Plant_1;Article_9252;1.016,0000000000
Supplier_42;Plant_1;Article_1529;482,0000000000
Supplier_42;Plant_1;Article_1597;486,0000000000
Supplier_42;Plant_1;Article_3620;146,2857142857
Supplier_42;Plant_1;Article_3575;979,4285714286
Supplier_42;Plant_1;Article_3568;1.290,0000000000
Supplier_42;Plant_1;Article_3591;330,2857142857
Supplier_42;Plant_1;Article_3583;980,5714285714
Supplier_42;Plant_1;Article_3680;144,0000000000
Supplier_42;Plant_1;Article_3672;1.293,0000000000
Supplier_42;Plant_1;Article_8469;4.264,0000000000
Supplier_42;Plant_1;Article_8463;4.265,8571428571
Supplier_42;Plant_1;Article_8185;240,0000000000
Supplier_42;Plant_1;Article_8174;241,4285714286
Supplier_326;Plant_5;Article_10073;791,0714285714
Supplier_326;Plant_5;Article_10079;1.474,1071428571
Supplier_326;Plant_5;Article_10032;1.887,8571428571
Supplier_326;Plant_5;Article_6398;1.778,5714285714
Supplier_326;Plant_5;Article_6393;3.519,4285714286
Supplier_326;Plant_5;Article_6576;4.791,4285714286
Supplier_326;Plant_5;Article_3263;4.950,2857142857
Supplier_326;Plant_5;Article_3275;1.831,5714285714
Supplier_326;Plant_5;Article_3286;106,2857142857
Supplier_326;Plant_5;Article_3294;3.587,2857142857
Supplier_326;Plant_5;Article_3306;60,1428571429
Supplier_326;Plant_5;Article_4170;42,8571428571
Supplier_326;Plant_5;Article_4195;106,8571428571
Supplier_326;Plant_5;Article_4190;60,0000000000
Supplier_326;Plant_5;Article_4087;3,8571428571
Supplier_14;Plant_5;Article_10165;5.120,0000000000
Supplier_14;Plant_5;Article_1560;11.232,1428571429
Supplier_14;Plant_5;Article_1630;4.553,2142857143
Supplier_14;Plant_5;Article_6721;4.550,8571428571
Supplier_14;Plant_5;Article_3463;5.017,8571428571
Supplier_14;Plant_5;Article_3438;4.982,1428571428
Supplier_51;Plant_5;Article_7763;1.079,3571428571
Supplier_351;Plant_5;Article_6546;3,5714285714
Supplier_351;Plant_5;Article_6915;765,7142857143
Supplier_351;Plant_5;Article_6941;647,8571428571
Supplier_351;Plant_5;Article_6937;647,1428571429
Supplier_351;Plant_5;Article_6982;20,7142857143
Supplier_351;Plant_5;Article_7175;93,9285714286
Supplier_351;Plant_5;Article_7170;245,0000000000
Supplier_351;Plant_5;Article_7932;3,5714285714
Supplier_351;Plant_5;Article_7938;3,5714285714
Supplier_351;Plant_5;Article_8084;605,0000000000
Supplier_351;Plant_5;Article_8088;604,6428571429
Supplier_351;Plant_5;Article_8067;619,2857142857
Supplier_351;Plant_5;Article_8070;596,7857142857
Supplier_351;Plant_5;Article_4157;22,8571428571
Supplier_351;Plant_5;Article_4172;30,7142857143
Supplier_351;Plant_5;Article_4026;70,3571428571
Supplier_351;Plant_5;Article_4045;1.422,1428571429
Supplier_351;Plant_5;Article_3915;13,5714285714
Supplier_351;Plant_5;Article_3954;15,7142857143
Supplier_351;Plant_5;Article_3994;19,2857142857
Supplier_351;Plant_5;Article_3986;366,0714285714
Supplier_351;Plant_5;Article_3982;380,0000000000
