#location_org;location_dest;commodity_name;interval_lowerbound;interval_upperbound
Supplier_1;Plant_1;Article_1799;180;180
Supplier_1;Plant_1;Article_1804;540;1800
Supplier_1;Plant_1;Article_1808;180;180
Supplier_1;Plant_1;Article_1815;1260;1710
Supplier_1;Plant_1;Article_1820;360;540
Supplier_1;Plant_1;Article_1830;960;1920
Supplier_1;Plant_1;Article_1865;720;1080
Supplier_1;Plant_1;Article_2652;1920;1920
Supplier_1;Plant_1;Article_2887;4200;6300
Supplier_1;Plant_1;Article_2891;4200;4950
Supplier_1;Plant_1;Article_2903;2800;5600
Supplier_1;Plant_1;Article_2914;2800;5600
Supplier_1;Plant_1;Article_8310;7680;7761
Supplier_1;Plant_1;Article_9550;480;2040
Supplier_1;Plant_1;Article_9554;445,7142857;720
Supplier_1;Plant_1;Article_9563;1920;2560
Supplier_1;Plant_1;Article_9571;1920;2560
Supplier_1;Plant_1;Article_9827;5120;10240
Supplier_1;Plant_1;Article_9841;324;486
Supplier_1;Plant_1;Article_9845;240;960
Supplier_1;Plant_1;Article_9853;3428,571429;6400
Supplier_1;Plant_1;Article_9866;7680;7680
Supplier_1;Plant_1;Article_9869;320;480
Supplier_1;Plant_1;Article_9875;1714,285714;2400
Supplier_1;Plant_1;Article_9887;1440;2160
Supplier_1;Plant_1;Article_9893;4840;4840
Supplier_1;Plant_1;Article_9901;4840;9680
Supplier_1;Plant_1;Article_9911;5120;10240
Supplier_1;Plant_1;Article_9947;2240;3280
Supplier_1;Plant_1;Article_9951;2520;3120
Supplier_1;Plant_1;Article_9953;2560;3840
Supplier_1;Plant_1;Article_9963;160;320
Supplier_1;Plant_1;Article_9971;2377,142857;3840
Supplier_10;Plant_2;Article_1580;25000;30000
Supplier_10;Plant_2;Article_2813;6000;7000
Supplier_10;Plant_2;Article_2821;6000;7250
Supplier_10;Plant_2;Article_3503;2250;2750
Supplier_10;Plant_2;Article_3519;4250;4875
Supplier_10;Plant_2;Article_4705;12000;14250
Supplier_10;Plant_2;Article_5058;6912;6912
Supplier_10;Plant_2;Article_5063;6912;6912
Supplier_10;Plant_3;Article_1570;4375;4375
Supplier_10;Plant_3;Article_2816;1750;1750
Supplier_10;Plant_3;Article_2829;1750;1750
Supplier_10;Plant_3;Article_3498;3718,75;3718,75
Supplier_10;Plant_3;Article_3512;4156,25;4156,25
Supplier_10;Plant_3;Article_4698;3062,5;3062,5
Supplier_10;Plant_3;Article_5060;2016;2016
Supplier_10;Plant_3;Article_5075;2016;2016
