#tariff_name;tariff_costs;up_to_kg;up_to_m3;up_to_LDM;up_to_LU;up_to_m2;up_to_AU;up_to_price;
FTL||Supplier_1||Hub_81||FTL_PT-GB_2000;1.903,0600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_1||Hub_82||FTL_PT-ES_1500;1.171,8400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_1||Hub_83||FTL_PT-DE_W_2500;2.289,4600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_1||Hub_84||FTL_PT-IT_2500;2.194,5400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_1||Hub_85||FTL_PT-DE_W_2500;2.489,1200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_2||Hub_81||FTL_PT-GB_2000;1.789,1300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_2||Hub_82||FTL_PT-ES_1500;1.127,7300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_2||Hub_83||FTL_PT-DE_W_2500;2.186,8900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_2||Hub_84||FTL_PT-IT_2500;2.129,3300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_2||Hub_85||FTL_PT-DE_W_2500;2.400,8700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_3||Hub_81||FTL_PT-GB_2000;1.749,9800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_3||Hub_82||FTL_PT-ES_1500;1.121,7500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_3||Hub_83||FTL_PT-DE_W_2000;2.154,9900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_3||Hub_84||FTL_PT-IT_2000;2.114,0000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_3||Hub_85||FTL_PT-DE_W_2500;2.375,7400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_4||Hub_81||FTL_PT-GB_2000;1.774,9600000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_4||Hub_82||FTL_PT-ES_1500;1.120,3900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_4||Hub_83||FTL_PT-DE_W_2500;2.173,1100000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_4||Hub_84||FTL_PT-IT_2500;2.119,2800000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_4||Hub_85||FTL_PT-DE_W_2500;2.388,3500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_5||Hub_81||FTL_Welt_Welt_2500;4.711,4700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_5||Hub_82||FTL_Welt_Welt_1500;2.403,8700000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_5||Hub_83||FTL_Welt_Welt_2500;5.051,8200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_5||Hub_84||FTL_Welt_Welt_2500;4.391,1500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_5||Hub_85||FTL_Welt_Welt_2500;5.165,8400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_6||Hub_81||FTL_GB-GB_250;318,6000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_6||Hub_82||FTL_GB-ES_1500;1.754,3900000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_6||Hub_83||FTL_GB-DE_W_1000;1.123,4500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_6||Hub_84||FTL_GB-IT_2000;1.986,6500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_6||Hub_85||FTL_GB-DE_W_1500;1.645,0400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_7||Hub_81||FTL_ES-GB_2000;1.946,5000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_7||Hub_82||FTL_ES-ES_1000;748,7400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_7||Hub_83||FTL_ES-DE_W_2000;2.170,9300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_7||Hub_84||FTL_ES-IT_2000;1.897,7300000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_7||Hub_85||FTL_ES-DE_W_2000;2.288,7000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_8||Hub_81||FTL_ES-GB_2000;1.901,1200000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_8||Hub_82||FTL_ES-ES_1000;678,6400000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_8||Hub_83||FTL_ES-DE_W_2000;2.102,5000000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
FTL||Supplier_8||Hub_84||FTL_ES-IT_2000;1.822,8500000000;24.000,0000000000;102,0000000000;13,6000000000;$inf;$inf;$inf;$inf;
