#location_org;location_dest;commodity_name;interval_lowerbound;interval_upperbound
Supplier_26;Plant_9;Article_10004;40;40
Supplier_351;Plant_7;Article_10005;40;40
Supplier_26;Plant_9;Article_10006;280;420
Supplier_276;Plant_21;Article_10007;300;300
Supplier_261;Plant_15;Article_10008;45;45
Supplier_248;Plant_15;Article_10009;120;120
Supplier_248;Plant_15;Article_10016;120;120
Supplier_351;Plant_8;Article_1002;5;11,25
Supplier_347;Plant_9;Article_10022;300;300
Supplier_347;Plant_9;Article_10024;300;300
Supplier_321;Plant_4;Article_1003;1;2
Supplier_357;Plant_13;Article_10030;70;310
Supplier_357;Plant_13;Article_10033;70;310
Supplier_280;Plant_4;Article_10034;1;1,5
Supplier_357;Plant_13;Article_10035;70;310
Supplier_249;Plant_15;Article_10036;168;168
Supplier_275;Plant_21;Article_10037;24;24
Supplier_249;Plant_15;Article_10038;168;168
Supplier_357;Plant_13;Article_10039;70;310
Supplier_280;Plant_4;Article_10041;3;8,5
Supplier_275;Plant_21;Article_10043;24;24
Supplier_357;Plant_13;Article_10045;70;310
Supplier_280;Plant_4;Article_10046;1,25;1,75
Supplier_26;Plant_9;Article_10047;320;390
Supplier_325;Plant_15;Article_10048;100;175
Supplier_275;Plant_21;Article_10049;24;90
Supplier_151;Plant_4;Article_1005;110;110
Supplier_275;Plant_21;Article_10051;24;90
Supplier_325;Plant_15;Article_10053;100;100
Supplier_358;Plant_4;Article_10054;139,25;183,25
Supplier_280;Plant_4;Article_10056;1,75;6,5
Supplier_26;Plant_9;Article_10057;272;544
Supplier_358;Plant_4;Article_10058;10;14
Supplier_275;Plant_21;Article_10060;24;24
Supplier_351;Plant_8;Article_10061;446,25;1103,75
Supplier_321;Plant_6;Article_10063;50;50
Supplier_26;Plant_9;Article_10064;4200;4200
Supplier_275;Plant_21;Article_10065;24;24
Supplier_26;Plant_9;Article_10066;42;42
Supplier_306;Plant_18;Article_10068;267,75;398,25
Supplier_26;Plant_9;Article_10069;230;480
Supplier_306;Plant_18;Article_10070;103,5;188
Supplier_26;Plant_9;Article_10071;210;210
Supplier_306;Plant_18;Article_10072;21;21
Supplier_26;Plant_9;Article_10075;3360;3360
Supplier_347;Plant_9;Article_10076;805;945
Supplier_357;Plant_13;Article_10078;140;620
Supplier_351;Plant_8;Article_1008;5;10
Supplier_26;Plant_9;Article_10082;6000;6750
Supplier_33;Plant_9;Article_10083;192;384
Supplier_33;Plant_9;Article_10086;1200;1350
Supplier_33;Plant_9;Article_10087;2560;3200
Supplier_321;Plant_4;Article_1009;2,25;4
Supplier_26;Plant_9;Article_10090;1694;2002
Supplier_306;Plant_18;Article_10091;6480;7920
Supplier_26;Plant_9;Article_10093;600;900
Supplier_26;Plant_9;Article_10098;72;72
Supplier_275;Plant_21;Article_10107;24;24
Supplier_26;Plant_9;Article_10110;3000;3000
Supplier_358;Plant_4;Article_10112;2;5,5
Supplier_26;Plant_9;Article_10117;387;585
Supplier_351;Plant_5;Article_10118;4660;5840
Supplier_351;Plant_8;Article_1012;5;15
Supplier_280;Plant_4;Article_10120;1;3
Supplier_275;Plant_21;Article_10121;24;24
Supplier_26;Plant_9;Article_10123;387;576
Supplier_280;Plant_4;Article_10124;3,75;14
Supplier_275;Plant_21;Article_10126;24;24
Supplier_26;Plant_9;Article_10128;360;720
Supplier_321;Plant_4;Article_1013;1,5;3
Supplier_351;Plant_5;Article_10132;25;40
Supplier_33;Plant_9;Article_10133;810;1620
Supplier_351;Plant_5;Article_10135;300;650
Supplier_33;Plant_9;Article_10136;840;1370
Supplier_351;Plant_5;Article_10137;21;68,5
Supplier_275;Plant_21;Article_10138;24;24
Supplier_26;Plant_9;Article_10139;392;616
Supplier_151;Plant_4;Article_1014;14;15
Supplier_351;Plant_5;Article_10141;590;845
Supplier_26;Plant_9;Article_10143;1232;1400
Supplier_351;Plant_5;Article_10146;26;40
Supplier_26;Plant_9;Article_10148;336;432
Supplier_237;Plant_21;Article_10149;60;60
Supplier_351;Plant_5;Article_10150;590;840
Supplier_110;Plant_15;Article_10151;48;112
Supplier_110;Plant_15;Article_10153;148;240
Supplier_26;Plant_9;Article_10156;288;384
Supplier_358;Plant_4;Article_10157;2;6
Supplier_351;Plant_5;Article_10158;40;60
Supplier_26;Plant_9;Article_10159;130;156
Supplier_26;Plant_9;Article_10162;216;360
Supplier_26;Plant_9;Article_10164;42;72
Supplier_14;Plant_5;Article_10165;4935;5740
Supplier_351;Plant_5;Article_10166;215;320
Supplier_351;Plant_8;Article_1017;5;10
Supplier_351;Plant_5;Article_10170;50;80
Supplier_26;Plant_9;Article_10172;210;270
Supplier_26;Plant_9;Article_10173;1750;2250
Supplier_351;Plant_5;Article_10174;50;60
Supplier_351;Plant_5;Article_10177;725;955
Supplier_321;Plant_4;Article_1018;20;27
Supplier_347;Plant_9;Article_10182;200;250
Supplier_351;Plant_5;Article_10184;1615;1995
Supplier_351;Plant_5;Article_10189;1600;2020
Supplier_351;Plant_5;Article_10194;20;40
Supplier_110;Plant_15;Article_10196;148;240
Supplier_351;Plant_5;Article_10197;8;8
Supplier_151;Plant_4;Article_1020;15,5;75
Supplier_110;Plant_15;Article_10200;680;1832
Supplier_26;Plant_9;Article_10201;210;262,5
Supplier_26;Plant_9;Article_10203;1575;1925
Supplier_26;Plant_9;Article_10205;1000;1000
Supplier_351;Plant_5;Article_10207;110;240
Supplier_110;Plant_15;Article_10208;36;108
Supplier_219;Plant_21;Article_1022;4000;4000
Supplier_351;Plant_8;Article_1026;100;242,5
Supplier_321;Plant_4;Article_1027;2;6
Supplier_151;Plant_4;Article_1029;32;130
Supplier_321;Plant_4;Article_1032;6;10
Supplier_351;Plant_8;Article_1033;102,5;242,5
Supplier_312;Plant_4;Article_1036;34;34
Supplier_321;Plant_4;Article_1038;2;2
Supplier_321;Plant_4;Article_1042;2,25;4,75
Supplier_312;Plant_4;Article_1043;44;88
Supplier_321;Plant_4;Article_1048;2;4
Supplier_151;Plant_15;Article_105;168;168
Supplier_312;Plant_4;Article_1051;165;264
Supplier_312;Plant_4;Article_1056;99;144
Supplier_210;Plant_21;Article_1057;280;280
Supplier_210;Plant_21;Article_1062;280;280
Supplier_321;Plant_4;Article_1064;14;20,5
Supplier_351;Plant_8;Article_1065;40;70
Supplier_151;Plant_4;Article_1068;28;28
Supplier_351;Plant_8;Article_1070;8,75;21,25
Supplier_321;Plant_4;Article_1072;5;12
Supplier_165;Plant_6;Article_1078;48;48
Supplier_351;Plant_8;Article_1079;5;12,5
Supplier_321;Plant_4;Article_1083;50;100
Supplier_321;Plant_4;Article_1084;2;4
Supplier_351;Plant_8;Article_1086;35;70
Supplier_276;Plant_18;Article_1088;36;49,5
Supplier_151;Plant_4;Article_1089;252;308
Supplier_321;Plant_4;Article_1090;22;32
Supplier_351;Plant_8;Article_1091;11,25;23,75
Supplier_151;Plant_4;Article_1094;392;448
Supplier_151;Plant_15;Article_1095;30;72
Supplier_321;Plant_4;Article_1097;18;34
Supplier_351;Plant_8;Article_1098;5;11,25
Supplier_351;Plant_7;Article_110;60;60
Supplier_151;Plant_4;Article_1101;28;28
Supplier_321;Plant_4;Article_1102;8;12
Supplier_351;Plant_8;Article_1103;12,5;27,5
Supplier_165;Plant_6;Article_1107;48;48
Supplier_351;Plant_8;Article_1109;8,75;20
Supplier_151;Plant_4;Article_1111;224;308
Supplier_321;Plant_4;Article_1112;2,5;6
Supplier_214;Plant_18;Article_1114;168;252
Supplier_351;Plant_8;Article_1115;5;6,25
Supplier_151;Plant_4;Article_1119;420;448
Supplier_321;Plant_4;Article_1120;5,75;11,25
Supplier_214;Plant_18;Article_1121;168;231
Supplier_351;Plant_8;Article_1122;5;5
Supplier_151;Plant_4;Article_1123;4,5;6
Supplier_321;Plant_4;Article_1125;2;4,25
Supplier_210;Plant_21;Article_1126;50;100
Supplier_132;Plant_18;Article_1127;78;169
Supplier_351;Plant_8;Article_1129;10;35
Supplier_151;Plant_4;Article_1130;2,5;19
Supplier_210;Plant_21;Article_1133;162,5;350
Supplier_321;Plant_4;Article_1134;4;7,25
Supplier_214;Plant_4;Article_1137;84;84
Supplier_87;Plant_4;Article_1138;60;60
Supplier_351;Plant_7;Article_1139;280;280
Supplier_151;Plant_4;Article_114;1340;1760
Supplier_326;Plant_6;Article_1140;252;333
Supplier_332;Plant_6;Article_1140;396;558
Supplier_214;Plant_15;Article_1141;208;208
Supplier_321;Plant_4;Article_1143;220;220
Supplier_351;Plant_7;Article_1145;260;260
Supplier_326;Plant_6;Article_1146;54;78
Supplier_332;Plant_6;Article_1146;108;144
Supplier_214;Plant_15;Article_1148;208;208
Supplier_321;Plant_4;Article_1149;33,25;48,75
Supplier_151;Plant_15;Article_1150;28;28
Supplier_87;Plant_4;Article_1152;645;780
Supplier_351;Plant_7;Article_1153;80;80
Supplier_326;Plant_6;Article_1155;33;51
Supplier_332;Plant_6;Article_1155;36;60
Supplier_276;Plant_18;Article_1157;44;74
Supplier_321;Plant_4;Article_1158;5,25;10,75
Supplier_351;Plant_8;Article_1159;20;54
Supplier_87;Plant_4;Article_1160;60;60
Supplier_351;Plant_7;Article_1162;260;260
Supplier_276;Plant_18;Article_1163;31,5;34,5
Supplier_326;Plant_6;Article_1164;90;126
Supplier_332;Plant_6;Article_1164;144;180
Supplier_351;Plant_8;Article_1166;5;10
Supplier_321;Plant_4;Article_1167;2;4,75
Supplier_87;Plant_4;Article_1168;480;630
Supplier_326;Plant_6;Article_1169;504;576
Supplier_332;Plant_6;Article_1169;468;585
Supplier_351;Plant_7;Article_1170;240;240
Supplier_276;Plant_18;Article_1171;48;48
Supplier_351;Plant_8;Article_1172;23,75;59,75
Supplier_87;Plant_4;Article_1174;240;300
Supplier_321;Plant_4;Article_1175;1;2
Supplier_326;Plant_6;Article_1176;12;18
Supplier_332;Plant_6;Article_1176;12;12
Supplier_351;Plant_7;Article_1178;300;300
Supplier_351;Plant_8;Article_1179;5;5
Supplier_151;Plant_4;Article_118;160;160
Supplier_321;Plant_4;Article_1180;220;220
Supplier_87;Plant_4;Article_1182;480;600
Supplier_326;Plant_6;Article_1183;36;39
Supplier_332;Plant_6;Article_1183;36;48
Supplier_351;Plant_7;Article_1184;260;260
Supplier_351;Plant_8;Article_1185;10;35
Supplier_321;Plant_4;Article_1186;37;49,5
Supplier_326;Plant_6;Article_1187;72;90
Supplier_332;Plant_6;Article_1187;72;72
Supplier_87;Plant_4;Article_1188;60;60
Supplier_351;Plant_7;Article_1190;260;260
Supplier_351;Plant_7;Article_1191;240;240
Supplier_351;Plant_8;Article_1192;5;5
Supplier_326;Plant_6;Article_1193;21;39
Supplier_332;Plant_6;Article_1193;24;36
Supplier_214;Plant_4;Article_1194;168;168
Supplier_351;Plant_7;Article_1199;320;320
Supplier_326;Plant_6;Article_1200;279;342
Supplier_332;Plant_6;Article_1200;342;396
Supplier_214;Plant_4;Article_1201;24,75;36
Supplier_351;Plant_7;Article_1204;280;280
Supplier_210;Plant_21;Article_1205;120;120
Supplier_351;Plant_8;Article_1206;5;5
Supplier_326;Plant_6;Article_1207;12;12
Supplier_332;Plant_6;Article_1207;12;21
Supplier_214;Plant_4;Article_1208;168;252
Supplier_351;Plant_7;Article_121;630;630
Supplier_351;Plant_7;Article_1210;200;200
Supplier_333;Plant_22;Article_1211;324;720
Supplier_351;Plant_8;Article_1213;5;7,5
Supplier_214;Plant_4;Article_1215;9;9
Supplier_351;Plant_8;Article_1217;17,5;55
Supplier_326;Plant_6;Article_1218;216;261
Supplier_332;Plant_6;Article_1218;252;324
Supplier_210;Plant_21;Article_1219;140;140
Supplier_351;Plant_7;Article_1220;220;220
Supplier_333;Plant_22;Article_1221;432;720
Supplier_214;Plant_4;Article_1223;84;84
Supplier_351;Plant_8;Article_1224;21,25;50
Supplier_326;Plant_6;Article_1225;24;30
Supplier_332;Plant_6;Article_1225;15;24
Supplier_342;Plant_18;Article_1226;230;280
Supplier_210;Plant_21;Article_1227;108;120
Supplier_351;Plant_7;Article_1228;240;240
Supplier_214;Plant_4;Article_1230;9;9
Supplier_326;Plant_6;Article_1232;6;6
Supplier_332;Plant_6;Article_1232;6;6
Supplier_351;Plant_7;Article_1233;200;200
Supplier_342;Plant_18;Article_1234;40;40
Supplier_214;Plant_4;Article_1236;9;9
Supplier_210;Plant_21;Article_1238;140;140
Supplier_351;Plant_7;Article_1239;200;200
Supplier_342;Plant_18;Article_1240;100;160
Supplier_87;Plant_4;Article_1241;60;75
Supplier_214;Plant_4;Article_1242;18;27
Supplier_321;Plant_4;Article_1243;7,5;16,5
Supplier_351;Plant_7;Article_1244;280;280
Supplier_87;Plant_4;Article_1245;1;1
Supplier_342;Plant_18;Article_1246;140;200
Supplier_351;Plant_8;Article_1247;8,75;26,25
Supplier_326;Plant_6;Article_1248;72;90
Supplier_332;Plant_6;Article_1248;72;72
Supplier_321;Plant_4;Article_1249;6;8,5
Supplier_351;Plant_7;Article_1250;280;280
Supplier_342;Plant_18;Article_1251;720;960
Supplier_351;Plant_8;Article_1252;97,5;182,5
Supplier_326;Plant_6;Article_1253;36;39
Supplier_332;Plant_6;Article_1253;36;48
Supplier_87;Plant_4;Article_1254;60;60
Supplier_321;Plant_4;Article_1255;5;8,75
Supplier_351;Plant_7;Article_1256;260;260
Supplier_326;Plant_6;Article_1257;12;12
Supplier_332;Plant_6;Article_1257;6;12
Supplier_351;Plant_8;Article_1258;96,25;225
Supplier_321;Plant_4;Article_1259;15;19
Supplier_151;Plant_4;Article_126;80;160
Supplier_342;Plant_18;Article_1261;3000;4200
Supplier_87;Plant_4;Article_1262;540;660
Supplier_351;Plant_7;Article_1263;80;80
Supplier_351;Plant_8;Article_1265;93,75;216,25
Supplier_321;Plant_4;Article_1266;108;200
Supplier_351;Plant_8;Article_1267;10;22,5
Supplier_326;Plant_6;Article_1268;495;504
Supplier_332;Plant_6;Article_1268;468;567
Supplier_351;Plant_7;Article_1269;300;300
Supplier_87;Plant_4;Article_1270;10;10
Supplier_321;Plant_4;Article_1271;16;23
Supplier_351;Plant_8;Article_1272;10;20
Supplier_351;Plant_7;Article_1274;240;240
Supplier_321;Plant_4;Article_1275;4;7,75
Supplier_326;Plant_6;Article_1277;108;108
Supplier_332;Plant_6;Article_1277;72;108
Supplier_351;Plant_8;Article_1278;5;5
Supplier_351;Plant_7;Article_1279;260;260
Supplier_351;Plant_7;Article_128;600;600
Supplier_321;Plant_4;Article_1280;39,5;49
Supplier_326;Plant_6;Article_1282;48;48
Supplier_332;Plant_6;Article_1282;36;48
Supplier_351;Plant_8;Article_1283;5;5
Supplier_351;Plant_7;Article_1284;280;280
Supplier_351;Plant_7;Article_1285;300;300
Supplier_87;Plant_4;Article_1286;4545;5355
Supplier_321;Plant_4;Article_1289;4;8
Supplier_210;Plant_21;Article_1291;80;320
Supplier_351;Plant_7;Article_1292;260;260
Supplier_210;Plant_21;Article_1293;80;320
Supplier_87;Plant_4;Article_1294;60;60
Supplier_326;Plant_6;Article_1295;7,5;10,5
Supplier_332;Plant_6;Article_1295;6;6
Supplier_321;Plant_4;Article_1296;5;10,75
Supplier_351;Plant_7;Article_1298;200;200
Supplier_326;Plant_6;Article_1299;54;78
Supplier_332;Plant_6;Article_1299;108;144
Supplier_321;Plant_4;Article_13;27;39
Supplier_321;Plant_4;Article_1301;5,5;9
Supplier_87;Plant_4;Article_1302;10;10
Supplier_351;Plant_7;Article_1303;260;260
Supplier_326;Plant_6;Article_1304;270;360
Supplier_332;Plant_6;Article_1304;414;576
Supplier_321;Plant_4;Article_1305;1;2
Supplier_326;Plant_6;Article_1307;90;126
Supplier_332;Plant_6;Article_1307;144;180
Supplier_351;Plant_7;Article_1308;280;280
Supplier_210;Plant_21;Article_1309;210;210
Supplier_321;Plant_4;Article_1311;131;200
Supplier_87;Plant_4;Article_1312;60;120
Supplier_326;Plant_6;Article_1313;24;51
Supplier_332;Plant_6;Article_1313;39;60
Supplier_351;Plant_7;Article_1314;180;180
Supplier_210;Plant_21;Article_1315;210;210
Supplier_87;Plant_4;Article_1316;60;60
Supplier_321;Plant_4;Article_1317;17;23
Supplier_326;Plant_6;Article_1318;12;18
Supplier_332;Plant_6;Article_1318;12;12
Supplier_351;Plant_8;Article_1319;10;20
Supplier_219;Plant_21;Article_132;85;160
Supplier_87;Plant_4;Article_1320;60;120
Supplier_351;Plant_7;Article_1322;80;80
Supplier_210;Plant_21;Article_1323;210;210
Supplier_321;Plant_4;Article_1324;4,75;6,25
Supplier_326;Plant_6;Article_1325;531;585
Supplier_332;Plant_6;Article_1325;504;585
Supplier_351;Plant_8;Article_1326;97,5;172,5
Supplier_351;Plant_7;Article_1327;260;260
Supplier_210;Plant_21;Article_1328;210;210
Supplier_87;Plant_4;Article_1331;60;60
Supplier_321;Plant_4;Article_1332;38;50
Supplier_351;Plant_7;Article_1333;500;500
Supplier_156;Plant_19;Article_1334;20;40
Supplier_151;Plant_4;Article_1337;180;220
Supplier_325;Plant_4;Article_1339;720;960
Supplier_62;Plant_8;Article_134;122;122
Supplier_351;Plant_7;Article_1340;700;700
Supplier_156;Plant_19;Article_1341;20;20
Supplier_280;Plant_4;Article_1343;2000;2000
Supplier_151;Plant_4;Article_1344;80;80
Supplier_151;Plant_15;Article_1345;1020;1020
Supplier_351;Plant_7;Article_1347;1160;1160
Supplier_108;Plant_6;Article_1349;540;1260
Supplier_325;Plant_4;Article_1351;760;912
Supplier_351;Plant_7;Article_1353;700;700
Supplier_156;Plant_19;Article_1354;120;145
Supplier_351;Plant_8;Article_1359;127,5;363,75
Supplier_156;Plant_19;Article_1360;100;120
Supplier_351;Plant_7;Article_1364;1160;1160
Supplier_156;Plant_19;Article_1365;75;125
Supplier_151;Plant_4;Article_1367;224;224
Supplier_351;Plant_7;Article_1368;500;500
Supplier_156;Plant_19;Article_1369;80;125
Supplier_219;Plant_21;Article_137;50;105
Supplier_151;Plant_4;Article_1372;1320;1700
Supplier_156;Plant_19;Article_1377;80;120
Supplier_280;Plant_4;Article_1378;1750;2100
Supplier_151;Plant_4;Article_1381;160;220
Supplier_156;Plant_19;Article_1382;95;125
Supplier_280;Plant_4;Article_1385;1750;2100
Supplier_280;Plant_4;Article_139;540;648
Supplier_321;Plant_4;Article_1390;42,75;60,75
Supplier_156;Plant_19;Article_1391;20;40
Supplier_321;Plant_4;Article_1399;6;12
Supplier_156;Plant_19;Article_1400;20;40
Supplier_264;Plant_15;Article_1402;1080;1160
Supplier_156;Plant_19;Article_1403;360;480
Supplier_151;Plant_4;Article_1406;80;80
Supplier_280;Plant_4;Article_1407;2000;3000
Supplier_232;Plant_19;Article_1408;60;60
Supplier_62;Plant_8;Article_141;122;274,5
Supplier_280;Plant_4;Article_1411;2000;3000
Supplier_280;Plant_4;Article_1413;350;700
Supplier_156;Plant_19;Article_1414;120;145
Supplier_151;Plant_4;Article_1416;80;160
Supplier_264;Plant_15;Article_1418;100;140
Supplier_156;Plant_19;Article_1419;120;160
Supplier_151;Plant_4;Article_1421;80;80
