#location_org;location_dest;commodity_name;interval_lowerbound;interval_upperbound
Supplier_26;Plant_9;Article_10004;36;44,94427191
Supplier_351;Plant_7;Article_10005;40;40
Supplier_26;Plant_9;Article_10006;331,8518519;478,6389042
Supplier_276;Plant_21;Article_10007;300;300
Supplier_261;Plant_15;Article_10008;45;45
Supplier_248;Plant_15;Article_10009;120;120
Supplier_248;Plant_15;Article_10016;120;120
Supplier_351;Plant_8;Article_1002;10;15,34522484
Supplier_347;Plant_9;Article_10022;300;300
Supplier_347;Plant_9;Article_10024;300;300
Supplier_321;Plant_4;Article_1003;1,375;1,89254917
Supplier_357;Plant_13;Article_10030;189;329,196291
Supplier_357;Plant_13;Article_10033;189;329,196291
Supplier_280;Plant_4;Article_10034;1,5;2,5
Supplier_357;Plant_13;Article_10035;189;329,196291
Supplier_249;Plant_15;Article_10036;168;168
Supplier_275;Plant_21;Article_10037;24;24
Supplier_249;Plant_15;Article_10038;168;168
Supplier_357;Plant_13;Article_10039;188;329,6686274
Supplier_280;Plant_4;Article_10041;6,571428571;11,92110591
Supplier_275;Plant_21;Article_10043;24;24
Supplier_357;Plant_13;Article_10045;191,4;328,147212
Supplier_280;Plant_4;Article_10046;1,5;2,207106781
Supplier_26;Plant_9;Article_10047;353,3333333;423,571025
Supplier_325;Plant_15;Article_10048;130;178,3045892
Supplier_275;Plant_21;Article_10049;65,14285714;103,2981212
Supplier_151;Plant_4;Article_1005;117,3333333;145,7352112
Supplier_275;Plant_21;Article_10051;65,14285714;103,2981212
Supplier_325;Plant_15;Article_10053;122,2222222;166,3180774
Supplier_358;Plant_4;Article_10054;159,0454545;201,2202352
Supplier_280;Plant_4;Article_10056;4,25;7,554037934
Supplier_26;Plant_9;Article_10057;386,6666667;539,3700936
Supplier_358;Plant_4;Article_10058;12,2;17,81347585
Supplier_275;Plant_21;Article_10060;24;24
Supplier_351;Plant_8;Article_10061;824,5;1264,504178
Supplier_321;Plant_6;Article_10063;50;50
Supplier_26;Plant_9;Article_10064;4200;4200
Supplier_275;Plant_21;Article_10065;24;24
Supplier_26;Plant_9;Article_10066;42;42
Supplier_306;Plant_18;Article_10068;341,5;438,3467862
Supplier_26;Plant_9;Article_10069;335,7142857;513,2875808
Supplier_306;Plant_18;Article_10070;157,8846154;212,1818175
Supplier_26;Plant_9;Article_10071;210;210
Supplier_306;Plant_18;Article_10072;24,5;33,0732141
Supplier_26;Plant_9;Article_10075;3360;3360
Supplier_347;Plant_9;Article_10076;863,3333333;1009,049953
Supplier_357;Plant_13;Article_10078;378;658,3925819
Supplier_351;Plant_8;Article_1008;8,888888889;13,74801547
Supplier_26;Plant_9;Article_10082;6500;7366,025404
Supplier_33;Plant_9;Article_10083;295,3846154;416,6443889
Supplier_33;Plant_9;Article_10086;1300;1473,205081
Supplier_33;Plant_9;Article_10087;2674,285714;3472,845264
Supplier_321;Plant_4;Article_1009;3,142857143;4,242307555
Supplier_26;Plant_9;Article_10090;1848;2156
Supplier_306;Plant_18;Article_10091;6895,384615;8352,178989
Supplier_26;Plant_9;Article_10093;800;1146,410162
Supplier_26;Plant_9;Article_10098;72;72
Supplier_275;Plant_21;Article_10107;33,6;55,06625258
Supplier_26;Plant_9;Article_10110;3000;3000
Supplier_358;Plant_4;Article_10112;4,066666667;6,220290412
Supplier_26;Plant_9;Article_10117;495;670,006239
Supplier_351;Plant_5;Article_10118;5024,444444;5940,019552
Supplier_351;Plant_8;Article_1012;10;17,07106781
Supplier_280;Plant_4;Article_10120;2,142857143;3,357842935
Supplier_275;Plant_21;Article_10121;24;24
Supplier_26;Plant_9;Article_10123;495;668,3527723
Supplier_280;Plant_4;Article_10124;8,166666667;13,6577062
Supplier_275;Plant_21;Article_10126;33,6;55,06625258
Supplier_26;Plant_9;Article_10128;506,6666667;703,6422287
Supplier_321;Plant_4;Article_1013;2,466666667;4,23409687
Supplier_351;Plant_5;Article_10132;32,74074074;46,06392064
Supplier_33;Plant_9;Article_10133;1099,285714;1531,675844
Supplier_351;Plant_5;Article_10135;480;775,1459149
Supplier_33;Plant_9;Article_10136;1053,571429;1434,060532
Supplier_351;Plant_5;Article_10137;48;88,22437072
Supplier_275;Plant_21;Article_10138;24;24
Supplier_26;Plant_9;Article_10139;500;668,0987364
Supplier_151;Plant_4;Article_1014;13,2;17,40713679
Supplier_351;Plant_5;Article_10141;709,2592593;896,5255428
Supplier_26;Plant_9;Article_10143;1306,666667;1477,749493
Supplier_351;Plant_5;Article_10146;32,88;45,10129289
Supplier_26;Plant_9;Article_10148;384;480
Supplier_237;Plant_21;Article_10149;60;60
Supplier_351;Plant_5;Article_10150;710;898,6796226
Supplier_110;Plant_15;Article_10151;74,28571429;116,6675474
Supplier_110;Plant_15;Article_10153;177,1428571;246,5921825
Supplier_26;Plant_9;Article_10156;320;430,8512517
Supplier_358;Plant_4;Article_10157;4,333333333;6,795163153
Supplier_351;Plant_5;Article_10158;52,72727273;73,26548545
Supplier_26;Plant_9;Article_10159;138,6666667;168,6888807
Supplier_26;Plant_9;Article_10162;288;432
Supplier_26;Plant_9;Article_10164;52;86,64101615
Supplier_14;Plant_5;Article_10165;5120;6197,167066
Supplier_351;Plant_5;Article_10166;292;422,3670033
Supplier_351;Plant_8;Article_1017;7,777777778;12,1873633
Supplier_351;Plant_5;Article_10170;61,81818182;91,83981904
Supplier_26;Plant_9;Article_10172;240;300
Supplier_26;Plant_9;Article_10173;2000;2500
Supplier_351;Plant_5;Article_10174;56,36363636;73,84089431
Supplier_351;Plant_5;Article_10177;828;999,3216598
Supplier_321;Plant_4;Article_1018;22,41176471;27,04936677
Supplier_347;Plant_9;Article_10182;233,3333333;291,0683603
Supplier_351;Plant_5;Article_10184;1830;2149,061123
Supplier_351;Plant_5;Article_10189;1782,105263;2361,947952
Supplier_351;Plant_5;Article_10194;31,66666667;50,01514526
Supplier_110;Plant_15;Article_10196;181,7142857;251,4869149
Supplier_351;Plant_5;Article_10197;8;8
Supplier_151;Plant_4;Article_1020;53,66666667;119,9262572
Supplier_110;Plant_15;Article_10200;1041,066667;1707,477894
Supplier_26;Plant_9;Article_10201;233,3333333;286,7967164
Supplier_26;Plant_9;Article_10203;1750;2100
Supplier_26;Plant_9;Article_10205;1000;1000
Supplier_351;Plant_5;Article_10207;190;279,0692614
Supplier_110;Plant_15;Article_10208;70,85714286;110,9010748
Supplier_219;Plant_21;Article_1022;4000;4000
Supplier_351;Plant_8;Article_1026;171,8421053;274,1924096
Supplier_321;Plant_4;Article_1027;4,153846154;6,730864904
Supplier_151;Plant_4;Article_1029;66,33333333;114,3775838
Supplier_321;Plant_4;Article_1032;7,714285714;11,46474356
Supplier_351;Plant_8;Article_1033;170,3684211;270,4779225
Supplier_312;Plant_4;Article_1036;34;34
Supplier_321;Plant_4;Article_1038;2;2
Supplier_321;Plant_4;Article_1042;4,285714286;7,098557671
Supplier_312;Plant_4;Article_1043;70,07407407;92,10539082
Supplier_321;Plant_4;Article_1048;3,076923077;4,877919952
Supplier_151;Plant_15;Article_105;168;168
Supplier_312;Plant_4;Article_1051;213,7142857;281,1536177
Supplier_312;Plant_4;Article_1056;124,7142857;164,4922408
Supplier_210;Plant_21;Article_1057;280;280
Supplier_210;Plant_21;Article_1062;280;280
Supplier_321;Plant_4;Article_1064;16,25;22,90832812
Supplier_351;Plant_8;Article_1065;57,64705882;90,48747062
Supplier_151;Plant_4;Article_1068;30,54545455;38,98777219
Supplier_351;Plant_8;Article_1070;16,25;24,81127646
Supplier_321;Plant_4;Article_1072;8,058823529;12,84775071
Supplier_165;Plant_6;Article_1078;48;48
Supplier_351;Plant_8;Article_1079;8,636363636;14,15492735
Supplier_321;Plant_4;Article_1083;85,29411765;108,7775286
Supplier_321;Plant_4;Article_1084;3,333333333;4,966326495
Supplier_351;Plant_8;Article_1086;53,23529412;88,14326135
Supplier_276;Plant_18;Article_1088;48;79,52142129
Supplier_151;Plant_4;Article_1089;281,3333333;346,6857115
Supplier_321;Plant_4;Article_1090;27,05882353;34,80051737
Supplier_351;Plant_8;Article_1091;18;25,88810638
Supplier_151;Plant_4;Article_1094;422,6666667;477,1802735
Supplier_151;Plant_15;Article_1095;56;101,4312668
Supplier_321;Plant_4;Article_1097;23,41176471;32,20138091
Supplier_351;Plant_8;Article_1098;9,375;15,00495813
Supplier_351;Plant_7;Article_110;60;60
Supplier_151;Plant_4;Article_1101;30,54545455;38,98777219
Supplier_321;Plant_4;Article_1102;10,41176471;13,74828279
Supplier_351;Plant_8;Article_1103;20,66666667;32,59901566
Supplier_165;Plant_6;Article_1107;48;48
Supplier_351;Plant_8;Article_1109;16,25;28,01151918
Supplier_151;Plant_4;Article_1111;282,6666667;347,675384
Supplier_321;Plant_4;Article_1112;5,357142857;9,291354592
Supplier_214;Plant_18;Article_1114;197,6470588;270,0357157
Supplier_351;Plant_8;Article_1115;6,25;8,564550249
Supplier_151;Plant_4;Article_1119;426,6666667;481,8946789
Supplier_321;Plant_4;Article_1120;8,3125;12,51914157
Supplier_214;Plant_18;Article_1121;173,4444444;250,446524
