Results from runnning alns on input file instance AT-DE_W

Instance,Initial_Obj,Best_Obj,Run_Time,Segments,Segment_length
AT-DE_W_19_Ord_9_Veh_5_Loc_,638941.8800000001,1488.10819232,0.278856244,100,100

Best Solution found,1,1,0,16,17,17,16,14,18,18,14,0,0,5,19,19,5,0,10,7,15,15,10,7,0,12,6,9,12,6,9,0,4,4,0,3,2,3,2,0,8,11,13,13,11,8,0
Iteration found:,9031

Operator Times
Operator,Operator Time, Operator Running Time, Average operator Running Time
swap2,0.052795621000000174,6715,7.862341176470614E-6
exch3,0.006151239999999997,1147,5.3628945074106335E-6
r&R1_4,0.019090966999999976,825,2.314056606060603E-5
r&r1_4,0.02024269300000001,735,2.754107891156464E-5
retSame,5.406739999999996E-4,578,9.354221453287189E-7

Segments,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
swap2 weight,0.2,0.2200832177531207,0.2815625275245368,0.32105259811636694,0.3845730458068564,0.3992334581621725,0.4267585275027681,0.5014068220022144,0.5611254576017716,0.6075378982150933,0.5637960936063682,0.5087064914042686,0.5669651931234149,0.6135721544987319,0.6508577235989855,0.6806861788791885,0.7045489431033507,0.7236391544826806,0.7389113235861444,0.7511290588689155,0.7609032470951325,0.768722597676106,0.7749780781408848,0.7799824625127079,0.7839859700101662,0.7871887760081331,0.7897510208065064,0.7918008166452051,0.793440653316164,0.7947525226529312,0.7958020181223449,0.796641614497876,0.7973132915983008,0.7978506332786406,0.7982805066229124,0.7986244052983299,0.7988995242386638,0.799119619390931,0.7992956955127449,0.799436556410196,0.7995492451281567,0.7996393961025254,0.7997115168820205,0.7997692135056164,0.7998153708044932,0.7998522966435946,0.7998818373148757,0.7999054698519006,0.7999243758815204,0.7999395007052165,0.7999516005641731,0.7999612804513385,0.7999690243610709,0.7999752194888566,0.7999801755910854,0.7999841404728683,0.7999873123782946,0.7999898499026357,0.7999918799221086,0.799993503937687,0.7999948031501496,0.7999958425201197,0.7999966740160958,0.7999973392128765,0.7999978713703012,0.7999982970962409,0.7999986376769928,0.7999989101415942,0.7999991281132753,0.7999993024906203,0.7999994419924964,0.7999995535939971,0.7999996428751978,0.7999997143001581,0.7999997714401266,0.7999998171521012,0.7999998537216809,0.7999998829773448,0.7999999063818758,0.7999999251055006,0.6520093592366768,0.6836805812771801,0.6566218843765828,0.6132044842454523,0.575000673489077,0.5348629241123626,0.5103903392898901,0.47940318052282116,0.4651649560606686,0.48437134708791707,0.4789256490989051,0.5056986588140078,0.429853044698265,0.38247139281382675,0.372614085297832,0.3628531730001704,0.35828253840013635,0.35121569637360456,0.35562586988778966,0.3602149816245174
exch3 weight,0.2,0.162337333413737,0.16026700582378084,0.1323211552104611,0.13834663242404982,0.12521302364030135,0.11017041891224108,0.09813633512979286,0.08850906810383428,0.08216972234939132,0.07941890545152953,0.07353512436122363,0.0688280994889789,0.06506247959118312,0.06204998367294649,0.05963998693835719,0.05771198955068576,0.056169591640548605,0.054935673312438885,0.05394853864995111,0.05315883091996089,0.052527064735968715,0.052021651788774964,0.05161732143101997,0.05129385714481598,0.051035085715852774,0.050828068572682225,0.050662454858145786,0.050529963886516635,0.0504239711092133,0.05033917688737064,0.050271341509896504,0.05021707320791721,0.05017365856633377,0.05013892685306702,0.05011114148245363,0.05008891318596292,0.05007113054877034,0.05005690443901626,0.050045523551213014,0.05003641884097042,0.05002913507277634,0.05002330805822107,0.05001864644657685,0.050014917157261474,0.05001193372580918,0.05000954698064734,0.05000763758451787,0.050006110067614296,0.05000488805409143,0.050003910443273146,0.05000312835461853,0.05000250268369482,0.05000200214695587,0.05000160171756469,0.050001281374051756,0.050001025099241404,0.050000820079393125,0.0500006560635145,0.050000524850811585,0.050000419880649266,0.05000033590451941,0.050000268723615536,0.05000021497889243,0.05000017198311395,0.050000137586491154,0.05000011006919292,0.050000088055354344,0.05000007044428348,0.05000005635542677,0.05000004508434141,0.050000036067473136,0.0500000288539785,0.050000023083182805,0.05000001846654624,0.050000014773237,0.0500000118185896,0.05000000945487169,0.05000000756389736,0.0500000060511179,0.05000000484089433,0.050000003872715464,0.10032258374333364,0.14304876466908553,0.2000019256425532,0.2551391551929416,0.29161132415435326,0.33219815023257354,0.35411610854364717,0.3410535045955355,0.3242713751049998,0.3068589605491161,0.390193050792234,0.4435654835785725,0.4582154158160874,0.47181042789096517,0.4794483423127721,0.48896900819672223,0.48652189376847177,0.4835032293004917
